Power REIT Price to Free Cash Flow Ratio Historical Data,Power REIT Price to Free Cash Flow Ratio Historical Data,Power REIT Price to Free Cash Flow Ratio Historical Data,Power REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.19,,0.0
2024-09-30,0.75,$-1.01,0.0
2024-06-30,0.9,$-1.06,0.0
2024-03-31,0.76,$-0.43,0.0
2023-12-31,0.65,$-0.78,0.0
2023-09-30,1.16,$-0.01,0.0
2023-06-30,1.64,$-0.16,0.0
2023-03-31,3.74,$-0.74,0.0
2022-12-31,3.95,$-4.18,0.0
2022-09-30,10.67,$-5.18,0.0
2022-06-30,12.73,$-10.81,0.0
2022-03-31,39.39,$-12.41,0.0
2021-12-31,68.89,$-10.44,0.0
2021-09-30,49.97,$-10.31,0.0
2021-06-30,40.17,$-5.53,0.0
2021-03-31,45.24,$-5.38,0.0
2020-12-31,26.71,$-4.75,0.0
2020-09-30,19.82,$-3.66,0.0
2020-06-30,28.75,$-3.22,0.0
2020-03-31,10.43,$-1.49,0.0
2019-12-31,9.0,$-0.23,0.0
2019-09-30,10.14,$-0.20,0.0
2019-06-30,5.8,$0.68,8.5
2019-03-31,6.01,$0.55,10.84
2018-12-31,5.6,$0.68,8.18
2018-09-30,6.03,$0.57,10.56
2018-06-30,6.11,$0.46,13.43
2018-03-31,6.25,$0.64,9.77
2017-12-31,6.16,$0.58,10.58
2017-09-30,6.34,$0.63,10.08
2017-06-30,7.54,$0.65,11.51
2017-03-31,6.64,$0.65,10.29
2016-12-31,7.02,$0.50,14.05
2016-09-30,8.12,$0.23,35.02
2016-06-30,6.98,$0.19,36.53
2016-03-31,4.7,$-0.11,0.0
2015-12-31,4.37,$-0.13,0.0
2015-09-30,4.26,$1.04,4.08
2015-06-30,5.8,$1.04,5.56
2015-03-31,8.65,$-1.52,0.0
2014-12-31,8.35,$-1.38,0.0
2014-09-30,10.16,$-2.33,0.0
2014-06-30,9.06,$-3.42,0.0
2014-03-31,8.8,$-0.79,0.0
2013-12-31,8.79,$-1.01,0.0
2013-09-30,8.51,$-1.53,0.0
2013-06-30,8.63,$-0.53,0.0
2013-03-31,10.49,$-0.62,0.0
2012-12-31,9.81,$-0.57,0.0
2012-09-30,7.19,$0.05,133.32
2012-06-30,8.02,$0.17,46.29
2012-03-31,9.28,$0.36,25.93
2011-12-31,10.43,$0.40,26.07
2011-09-30,11.86,$0.28,42.2
2011-06-30,11.36,$0.17,68.04
2011-03-31,9.66,$0.09,109.34
2010-12-31,10.44,0,0.0
2010-09-30,9.92,0,0.0
2010-06-30,9.31,0,0.0
2010-03-31,9.47,0,0.0
2009-12-31,9.27,0,0.0
