IN8bio Price to Free Cash Flow Ratio Historical Data,IN8bio Price to Free Cash Flow Ratio Historical Data,IN8bio Price to Free Cash Flow Ratio Historical Data,IN8bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.23,,0.0
2024-12-31,0.26,$-0.45,0.0
2024-09-30,0.27,$-0.63,0.0
2024-06-30,0.85,$-0.65,0.0
2024-03-31,1.18,$-0.67,0.0
2023-12-31,1.38,$-0.80,0.0
2023-09-30,1.04,$-1.07,0.0
2023-06-30,1.54,$-1.20,0.0
2023-03-31,1.3,$-1.39,0.0
2022-12-31,2.31,$-1.33,0.0
2022-09-30,2.02,$-1.39,0.0
2022-06-30,2.26,$-1.98,0.0
