Foresight Autonomous Holdings American Depositary Shares Price to Free Cash Flow Ratio Historical Data,Foresight Autonomous Holdings American Depositary Shares Price to Free Cash Flow Ratio Historical Data,Foresight Autonomous Holdings American Depositary Shares Price to Free Cash Flow Ratio Historical Data,Foresight Autonomous Holdings American Depositary Shares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.68,,0.0
2024-09-30,0.71,$-1.31,0.0
2024-06-30,0.96,$-0.95,0.0
2024-03-31,1.07,$-1.32,0.0
2023-12-31,1.03,$-1.36,0.0
2023-09-30,2.05,$-2.20,0.0
2023-06-30,2.17,$-2.24,0.0
2023-03-31,2.46,$-1.61,0.0
2022-12-31,2.54,$-1.61,0.0
2022-09-30,3.15,$-0.67,0.0
2022-06-30,3.72,$-0.74,0.0
2022-03-31,6.66,$-1.05,0.0
2021-12-31,10.2,$-1.15,0.0
2021-09-30,18.78,$-1.33,0.0
2021-06-30,25.5,$-1.94,0.0
2021-03-31,37.5,$-1.12,0.0
2020-12-31,24.48,$-1.57,0.0
2020-09-30,5.51,$-1.33,0.0
2020-06-30,9.54,$-1.22,0.0
2020-03-31,3.65,$-2.45,0.0
2019-12-31,6.24,$-2.40,0.0
2019-09-30,8.28,$-2.93,0.0
2019-06-30,10.56,$-2.76,0.0
2019-03-31,8.1,$-2.95,0.0
2018-12-31,9.95,$-3.04,0.0
2018-09-30,17.94,$-2.68,0.0
2018-06-30,21.79,$-3.24,0.0
