Cemtrex Price to Free Cash Flow Ratio Historical Data,Cemtrex Price to Free Cash Flow Ratio Historical Data,Cemtrex Price to Free Cash Flow Ratio Historical Data,Cemtrex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.61,,0.0
2024-12-31,2.89,$-13.89,0.0
2024-09-30,241.5,$-12.68,0.0
2024-06-30,462.0,$-158.14,0.0
2024-03-31,8799.0,$0.92,9596.47
2023-12-31,10521.0,$5.18,2032.1
2023-09-30,10038.0,0,0.0
2023-06-30,16028.04,$-13.14,0.0
2023-03-31,17283.0,$-16.74,0.0
2022-12-31,9091.95,$-22.56,0.0
2022-09-30,15435.0,$-24.43,0.0
2022-06-30,20484.45,$-15.56,0.0
2022-03-31,46297.64,$-11.93,0.0
2021-12-31,60262.64,$-7.57,0.0
2021-09-30,85259.99,$-0.59,0.0
2021-06-30,110984.99,$-0.22,0.0
2021-03-31,138179.98,$0.15,901958.13
2020-12-31,99224.99,$-0.25,0.0
2020-09-30,81584.99,$-0.56,0.0
2020-06-30,120539.99,$0.02,5580554.94
2020-03-31,51045.74,$-0.26,0.0
2019-12-31,95549.99,$-1.91,0.0
2019-09-30,99224.99,$1.74,56924.44
2019-06-30,233729.97,$-5.91,0.0
2019-03-31,293999.97,$-9.24,0.0
2018-12-31,337629.56,$-7.25,0.0
2018-09-30,840839.91,$-10.47,0.0
2018-06-30,1228919.86,$-3.92,0.0
2018-03-31,1681679.82,$-0.64,0.0
2017-12-31,1498517.84,$-0.44,0.0
2017-09-30,1758119.81,$-0.46,0.0
2017-06-30,2116799.77,$0.23,9034570.07
2017-03-31,2075639.77,$0.68,3032787.51
2016-12-31,4314136.67,$0.71,6052380.29
2016-09-30,2314902.6,$0.85,2725659.49
2016-06-30,2157068.33,$0.54,4008675.59
2016-03-31,1198371.3,$0.56,2158061.04
