GDEV Price to Free Cash Flow Ratio Historical Data,GDEV Price to Free Cash Flow Ratio Historical Data,GDEV Price to Free Cash Flow Ratio Historical Data,GDEV Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.7,,0.0
2024-06-30,2.86,$-4.34,0.0
2023-12-31,2.21,$-1.97,0.0
2023-09-30,2.82,$-0.52,0.0
2022-12-31,6.38,$5.81,1.1
2022-09-30,6.38,$7.20,0.89
2022-06-30,6.38,$7.09,0.9
2022-03-31,6.38,$5.57,1.15
2021-12-31,8.06,$5.69,1.42
2021-09-30,6.64,$3.46,1.92
