Loews Price to Free Cash Flow Ratio Historical Data,Loews Price to Free Cash Flow Ratio Historical Data,Loews Price to Free Cash Flow Ratio Historical Data,Loews Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.18,,8.05
2024-12-31,84.69,$10.96,7.73
2024-09-30,78.99,$8.51,9.29
2024-06-30,74.63,$9.86,7.57
2024-03-31,78.17,$12.02,6.5
2023-12-31,69.43,$14.14,4.91
2023-09-30,63.1,$14.67,4.3
2023-06-30,59.13,$14.50,4.08
2023-03-31,57.71,$12.16,4.75
2022-12-31,57.96,$10.98,5.28
2022-09-30,49.47,$12.22,4.05
2022-06-30,58.76,$11.27,5.21
2022-03-31,64.21,$9.27,6.93
2021-12-31,57.15,$8.23,6.95
2021-09-30,53.31,$6.67,7.99
2021-06-30,53.96,$5.45,9.9
2021-03-31,50.58,$3.77,13.43
2020-12-31,44.35,$3.92,11.3
2020-09-30,34.18,$3.27,10.46
2020-06-30,33.67,$2.46,13.67
2020-03-31,34.14,$3.56,9.59
2019-12-31,51.38,$2.77,18.56
2019-09-30,50.33,$3.88,12.96
2019-06-30,53.38,$5.55,9.61
2019-03-31,46.74,$9.12,5.12
2018-12-31,44.33,$10.44,4.25
2018-09-30,48.86,$10.23,4.78
2018-06-30,46.9,$7.65,6.13
2018-03-31,48.25,$6.34,7.61
2017-12-31,48.48,$4.85,9.99
2017-09-30,46.32,$4.34,10.67
2017-06-30,45.24,$5.35,8.46
2017-03-31,45.14,$2.50,18.06
2016-12-31,45.14,$3.35,13.48
2016-09-30,39.61,$5.83,6.8
2016-06-30,39.49,$6.35,6.22
2016-03-31,36.72,$6.90,5.32
2015-12-31,36.79,$5.58,6.59
2015-09-30,34.57,$1.92,18.01
2015-06-30,36.77,$2.81,13.09
2015-03-31,38.92,$3.06,12.71
2014-12-31,40.0,$3.31,12.07
2014-09-30,39.6,$4.53,8.74
2014-06-30,41.77,$3.17,13.18
2014-03-31,41.75,$0.53,79.37
2013-12-31,45.65,$1.39,32.87
2013-09-30,44.18,$1.42,31.21
2013-06-30,41.91,$1.64,25.51
2013-03-31,41.54,$3.92,10.6
2012-12-31,38.3,$4.22,9.08
2012-09-30,38.72,$6.39,6.06
2012-06-30,38.33,$6.48,5.91
2012-03-31,37.3,$5.00,7.46
2011-12-31,35.16,$7.04,5.0
2011-09-30,32.21,$1.06,30.5
2011-06-30,39.18,$-1.04,0.0
2011-03-31,40.05,$1.79,22.33
2010-12-31,36.11,$-0.38,0.0
2010-09-30,35.11,$5.92,5.93
2010-06-30,30.81,$6.50,4.74
2010-03-31,34.41,$3.83,8.97
2009-12-31,33.5,$4.95,6.76
