ZyVersa Therapeutics Price to Free Cash Flow Ratio Historical Data,ZyVersa Therapeutics Price to Free Cash Flow Ratio Historical Data,ZyVersa Therapeutics Price to Free Cash Flow Ratio Historical Data,ZyVersa Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.7,,0.0
2024-09-30,2.4,$-34.69,0.0
2024-06-30,3.76,$1.72,2.18
2024-03-31,0.75,$81.02,0.01
2023-12-31,0.9,$-89.44,0.0
2023-09-30,0.13,$-235.06,0.0
2023-06-30,0.25,$-277.50,0.0
2023-03-31,1.93,$-360.60,0.0
2022-12-31,1.57,$-189.50,0.0
