"AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data","AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data","AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data","AXOS FINANCIAL, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,63.73,,10.91
2024-12-31,69.85,$5.84,11.95
2024-09-30,62.88,$5.04,12.48
2024-06-30,57.15,$4.59,12.45
2024-03-31,54.04,$5.18,10.44
2023-12-31,54.6,$2.40,22.79
2023-09-30,37.86,$2.17,17.43
2023-06-30,39.44,$2.75,14.35
2023-03-31,36.92,$3.91,9.44
2022-12-31,38.22,$7.25,5.27
2022-09-30,34.23,$6.45,5.3
2022-06-30,35.85,$3.22,11.14
2022-03-31,46.39,$2.57,18.02
2021-12-31,55.91,$0.67,83.74
2021-09-30,51.54,$3.37,15.28
2021-06-30,46.39,$6.64,6.98
2021-03-31,47.01,$6.00,7.84
2020-12-31,37.53,$7.08,5.3
2020-09-30,23.31,$5.21,4.48
2020-06-30,22.08,$4.42,4.99
2020-03-31,18.13,$4.62,3.93
2019-12-31,30.28,$3.26,9.3
2019-09-30,27.65,$2.61,10.58
2019-06-30,27.25,$2.96,9.22
2019-03-31,28.96,$2.46,11.77
2018-12-31,25.18,$3.15,8.0
2018-09-30,34.39,$2.29,15.02
2018-06-30,40.91,$2.43,16.81
2018-03-31,40.53,$2.18,18.55
2017-12-31,29.9,$2.67,11.18
2017-09-30,28.47,$2.75,10.37
2017-06-30,23.72,$2.97,7.99
2017-03-31,26.13,$3.52,7.42
2016-12-31,28.55,$2.70,10.57
2016-09-30,22.4,$2.82,7.93
2016-06-30,17.71,$2.46,7.2
2016-03-31,21.34,$1.82,11.71
2015-12-31,21.05,$1.84,11.43
2015-09-30,32.21,$1.48,21.8
2015-06-30,26.43,$1.81,14.62
2015-03-31,23.26,$0.55,42.19
2014-12-31,19.45,$0.68,28.64
2014-09-30,18.18,$0.25,73.47
2014-06-30,18.37,$0.31,58.44
2014-03-31,21.44,$1.74,12.33
2013-12-31,19.61,$1.50,13.11
2013-09-30,16.2,$1.89,8.59
2013-06-30,11.46,$0.21,53.5
2013-03-31,8.97,$-0.53,0.0
2012-12-31,6.95,$-2.08,0.0
2012-09-30,6.51,$-3.26,0.0
2012-06-30,4.94,$-1.18,0.0
2012-03-31,4.27,$-1.08,0.0
2011-12-31,4.06,$0.41,10.03
2011-09-30,3.37,$1.68,2.01
2011-06-30,3.6,$0.02,162.27
2011-03-31,3.88,$0.08,50.99
2010-12-31,3.88,$-0.18,0.0
2010-09-30,2.97,$-0.50,0.0
2010-06-30,3.53,$-0.41,0.0
2010-03-31,3.48,$-0.42,0.0
2009-12-31,2.5,$-0.66,0.0
