Piedmont Lithium Price to Free Cash Flow Ratio Historical Data,Piedmont Lithium Price to Free Cash Flow Ratio Historical Data,Piedmont Lithium Price to Free Cash Flow Ratio Historical Data,Piedmont Lithium Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.03,,0.0
2024-12-31,8.74,$-273.14,0.0
2024-09-30,8.93,$-326.23,0.0
2024-06-30,9.98,$-230.71,0.0
2024-03-31,13.32,$-313.09,0.0
2023-12-31,28.23,$-289.78,0.0
2023-09-30,39.7,$-260.98,0.0
2023-06-30,57.71,$-385.85,0.0
2023-03-31,60.05,$-359.33,0.0
2022-12-31,44.02,$-297.87,0.0
2022-09-30,53.49,$36.55,1.46
2022-06-30,36.41,$-0.02,0.0
2022-03-31,72.99,$-30.90,0.0
2021-12-31,52.46,0,0.0
2021-09-30,54.46,$-234.71,0.0
2021-06-30,78.16,$-164.16,0.0
2021-03-31,69.49,$-58.96,0.0
2020-12-31,26.55,0,0.0
2020-09-30,23.42,$-44.82,0.0
2020-06-30,5.77,0,0.0
2020-03-31,5.09,0,0.0
