Compugen Price to Free Cash Flow Ratio Historical Data,Compugen Price to Free Cash Flow Ratio Historical Data,Compugen Price to Free Cash Flow Ratio Historical Data,Compugen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.6,,7.48
2024-09-30,1.81,$0.21,8.47
2024-06-30,1.68,$0.44,3.79
2023-12-31,1.98,$-0.41,0.0
2023-09-30,0.93,$-0.40,0.0
2023-06-30,1.14,$-0.37,0.0
2023-03-31,0.7,$-0.40,0.0
2022-12-31,0.72,$-0.40,0.0
2022-09-30,0.66,$-0.27,0.0
2022-06-30,1.85,$-0.35,0.0
2022-03-31,3.22,$-0.27,0.0
2021-12-31,4.3,$-0.27,0.0
2021-09-30,5.97,$-0.36,0.0
2021-06-30,8.28,$-0.38,0.0
2021-03-31,8.59,$-0.36,0.0
2020-12-31,12.11,$-0.36,0.0
2020-09-30,16.25,$-0.43,0.0
2020-06-30,15.02,$-0.32,0.0
2020-03-31,7.26,$-0.43,0.0
2019-12-31,5.96,$-0.43,0.0
2019-09-30,4.23,$-0.24,0.0
2019-06-30,3.84,$-0.35,0.0
2019-03-31,4.14,$-0.24,0.0
2018-12-31,2.17,$-0.24,0.0
2018-09-30,3.85,$-0.61,0.0
2018-06-30,3.3,$-0.46,0.0
2018-03-31,4.45,$-0.61,0.0
2017-12-31,2.5,$-0.61,0.0
2017-09-30,3.8,$-0.44,0.0
2017-06-30,3.8,$-0.57,0.0
2017-03-31,4.3,$-0.44,0.0
2016-12-31,5.1,$-0.44,0.0
2016-09-30,6.3,$-0.57,0.0
2016-06-30,6.48,$-0.73,0.0
2016-03-31,5.58,$-0.57,0.0
2015-12-31,6.39,$-0.57,0.0
2015-09-30,5.17,$-0.26,0.0
2015-06-30,6.94,$-0.13,0.0
2015-03-31,7.05,$-0.26,0.0
2014-12-31,8.33,$-0.26,0.0
2014-09-30,8.57,$-0.16,0.0
2014-06-30,8.99,$-0.29,0.0
2014-03-31,10.51,$-0.16,0.0
2013-12-31,8.95,$-0.16,0.0
2013-09-30,10.26,$-0.33,0.0
2013-06-30,5.43,$-0.17,0.0
2013-03-31,5.07,$-0.33,0.0
2012-12-31,4.92,$-0.33,0.0
2012-09-30,3.76,$-0.27,0.0
2012-06-30,3.86,$-0.32,0.0
2012-03-31,5.99,$-0.27,0.0
2011-12-31,4.95,$-0.27,0.0
2011-09-30,4.0,$-0.02,0.0
2011-06-30,4.06,$-0.24,0.0
2011-03-31,5.14,$-0.13,0.0
2010-12-31,4.92,$-0.13,0.0
2010-09-30,4.72,$-0.17,0.0
2010-06-30,3.33,$-0.10,0.0
2010-03-31,4.9,$-0.25,0.0
2009-12-31,4.85,$-0.25,0.0
