Adaptive Biotechnologies Price to Free Cash Flow Ratio Historical Data,Adaptive Biotechnologies Price to Free Cash Flow Ratio Historical Data,Adaptive Biotechnologies Price to Free Cash Flow Ratio Historical Data,Adaptive Biotechnologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.75,,0.0
2024-12-31,6.0,$-0.67,0.0
2024-09-30,5.12,$-0.78,0.0
2024-06-30,3.62,$-0.94,0.0
2024-03-31,3.21,$-1.00,0.0
2023-12-31,4.9,$-1.16,0.0
2023-09-30,5.45,$-1.19,0.0
2023-06-30,6.71,$-1.18,0.0
2023-03-31,8.83,$-1.36,0.0
2022-12-31,7.64,$-1.41,0.0
2022-09-30,7.12,$-1.63,0.0
2022-06-30,8.09,$-1.71,0.0
2022-03-31,13.88,$-1.76,0.0
2021-12-31,28.06,$-1.81,0.0
2021-09-30,33.99,$-1.76,0.0
2021-06-30,40.86,$-1.70,0.0
2021-03-31,40.26,$-1.54,0.0
2020-12-31,59.13,$-1.28,0.0
2020-09-30,48.63,$0.12,396.66
2020-06-30,48.38,$-17.08,0.0
2020-03-31,27.78,$2.53,10.96
