Meridian Bank Price to Free Cash Flow Ratio Historical Data,Meridian Bank Price to Free Cash Flow Ratio Historical Data,Meridian Bank Price to Free Cash Flow Ratio Historical Data,Meridian Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.14,,9.3
2024-09-30,12.53,$1.52,8.24
2024-06-30,10.3,$0.52,19.87
2024-03-31,9.58,$2.18,4.4
2023-12-31,13.25,$1.50,8.86
2023-09-30,9.23,$2.49,3.72
2023-06-30,9.15,$2.83,3.23
2023-03-31,11.6,$5.19,2.24
2022-12-31,13.83,$6.70,2.06
2022-09-30,13.24,$1.50,8.85
2022-06-30,13.66,$0.80,17.09
2022-03-31,14.38,$1.89,7.59
2021-12-31,15.96,$6.44,2.48
2021-09-30,12.39,$10.44,1.19
2021-06-30,11.27,$2.10,5.37
2021-03-31,11.11,$-2.92,0.0
2020-12-31,8.49,$-12.87,0.0
2020-09-30,6.54,$-11.96,0.0
2020-06-30,6.38,$-5.38,0.0
2020-03-31,5.5,$-4.42,0.0
2019-12-31,8.12,$1.62,5.02
2019-09-30,7.14,$0.39,18.39
2019-06-30,6.8,$1.76,3.87
2019-03-31,7.26,$1.54,4.72
2018-12-31,6.91,$0.73,9.46
2018-09-30,6.92,$0.64,10.88
