Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data,Freeport-McMoRan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.7,,24.8
2024-12-31,38.08,$1.64,23.21
2024-09-30,49.76,$1.50,33.22
2024-06-30,48.3,$1.08,44.81
2024-03-31,46.59,$0.86,54.19
2023-12-31,42.03,$0.33,125.83
2023-09-30,36.66,$0.34,106.36
2023-06-30,39.19,$0.27,147.6
2023-03-31,39.94,$0.53,74.72
2022-12-31,36.98,$1.23,30.17
2022-09-30,26.46,$2.40,11.0
2022-06-30,28.16,$3.39,8.31
2022-03-31,47.72,$4.12,11.57
2021-12-31,39.9,$3.95,10.11
2021-09-30,31.04,$3.88,8.0
2021-06-30,35.34,$3.40,10.38
2021-03-31,31.29,$2.09,15.0
2020-12-31,24.73,$1.20,20.52
2020-09-30,14.86,$0.01,0.0
2020-06-30,10.99,$-0.76,0.0
2020-03-31,6.41,$-0.82,0.0
2019-12-31,12.42,$-0.42,0.0
2019-09-30,9.01,$-0.48,0.0
2019-06-30,10.88,$0.29,37.56
2019-03-31,12.04,$0.95,12.74
2018-12-31,9.59,$1.61,5.95
2018-09-30,12.9,$2.57,5.02
2018-06-30,15.94,$2.74,5.82
2018-03-31,16.18,$2.59,6.24
2017-12-31,17.46,$2.24,7.8
2017-09-30,12.93,$1.60,8.07
2017-06-30,11.06,$1.40,7.88
2017-03-31,12.31,$1.20,10.23
2016-12-31,12.15,$0.70,17.33
2016-09-30,10.0,$-0.24,0.0
2016-06-30,10.26,$-1.29,0.0
2016-03-31,9.52,$-1.98,0.0
2015-12-31,6.24,$-2.90,0.0
2015-09-30,8.89,$-2.81,0.0
2015-06-30,16.92,$-2.12,0.0
2015-03-31,17.18,$-2.24,0.0
2014-12-31,20.86,$-1.52,0.0
2014-09-30,28.87,$-0.13,0.0
2014-06-30,32.01,$0.03,1077.89
2014-03-31,28.73,$0.43,67.3
2013-12-31,32.5,$0.85,38.33
2013-09-30,28.22,$0.42,67.52
2013-06-30,23.3,$-0.31,0.0
2013-03-31,26.77,$0.22,120.35
2012-12-31,27.41,$0.29,93.39
2012-09-30,31.48,$-0.05,0.0
2012-06-30,26.84,$1.62,16.58
2012-03-31,29.71,$2.44,12.2
2011-12-31,28.56,$4.28,6.68
2011-09-30,23.47,$5.91,3.97
2011-06-30,40.6,$5.78,7.02
2011-03-31,41.99,$5.39,7.79
2010-12-31,45.2,$5.12,8.83
2010-09-30,31.76,$4.58,6.94
2010-06-30,21.89,$5.38,4.07
2010-03-31,30.87,$5.64,5.47
2009-12-31,29.62,$3.00,9.89
