Greenidge Generation Holdings Price to Free Cash Flow Ratio Historical Data,Greenidge Generation Holdings Price to Free Cash Flow Ratio Historical Data,Greenidge Generation Holdings Price to Free Cash Flow Ratio Historical Data,Greenidge Generation Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.93,,0.0
2024-09-30,1.81,$-2.42,0.0
2024-06-30,2.69,$-2.30,0.0
2024-03-31,3.5,$-2.14,0.0
2023-12-31,6.71,$-2.73,0.0
2023-09-30,4.09,$-3.28,0.0
2023-06-30,2.82,$-8.57,0.0
2023-03-31,0.45,$-17.21,0.0
2022-12-31,0.29,$-32.18,0.0
2022-09-30,2.0,$-49.77,0.0
2022-06-30,2.54,$-57.34,0.0
