Oriental Culture Holding Price to Free Cash Flow Ratio Historical Data,Oriental Culture Holding Price to Free Cash Flow Ratio Historical Data,Oriental Culture Holding Price to Free Cash Flow Ratio Historical Data,Oriental Culture Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.27,,inf
2023-12-31,1.43,0.0,0.0
2023-06-30,0.6,0.0,0.0
2022-12-31,0.5,0.0,0.0
