Digital Turbine Price to Free Cash Flow Ratio Historical Data,Digital Turbine Price to Free Cash Flow Ratio Historical Data,Digital Turbine Price to Free Cash Flow Ratio Historical Data,Digital Turbine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.45,,0.0
2024-12-31,1.69,$-0.38,0.0
2024-09-30,3.07,$-0.33,0.0
2024-06-30,1.66,$0.03,50.61
2024-03-31,2.62,$0.04,59.28
2023-12-31,6.86,$0.32,21.68
2023-09-30,6.05,$0.50,12.16
2023-06-30,9.28,$0.50,18.61
2023-03-31,12.36,$0.85,14.5
2022-12-31,15.24,$-0.36,0.0
2022-09-30,14.41,$-0.32,0.0
2022-06-30,17.47,$-0.22,0.0
2022-03-31,43.81,$-0.85,0.0
2021-12-31,60.99,$0.09,642.0
2021-09-30,68.75,$0.05,1377.76
2021-06-30,76.03,$-0.12,0.0
2021-03-31,80.36,$0.26,309.2
2020-12-31,56.56,$0.55,103.19
2020-09-30,32.74,$0.36,90.37
2020-06-30,12.57,$0.29,43.34
2020-03-31,4.31,$0.30,14.55
2019-12-31,7.13,$0.20,35.11
2019-09-30,6.45,$0.16,40.79
2019-06-30,5.0,$0.09,57.87
2019-03-31,3.5,$-0.01,0.0
2018-12-31,1.83,$0.04,44.31
2018-09-30,1.24,$0.04,28.9
2018-06-30,1.51,$0.04,35.78
2018-03-31,2.01,$0.07,30.36
2017-12-31,1.79,$0.01,0.0
2017-09-30,1.51,$-0.08,0.0
2017-06-30,1.03,$-0.12,0.0
2017-03-31,0.94,$-0.12,0.0
2016-12-31,0.68,$-0.18,0.0
2016-09-30,1.05,$-0.17,0.0
2016-06-30,1.07,$-0.15,0.0
2016-03-31,1.19,$-0.14,0.0
2015-12-31,1.33,$-0.24,0.0
2015-09-30,1.81,$-0.32,0.0
2015-06-30,3.02,$-0.36,0.0
2015-03-31,3.26,$-0.43,0.0
2014-12-31,3.33,$-0.30,0.0
2014-09-30,4.58,$-0.23,0.0
2014-06-30,3.95,$-0.24,0.0
2014-03-31,3.95,$-0.24,0.0
2013-12-31,2.62,$-0.27,0.0
2013-09-30,2.67,$-0.34,0.0
2013-06-30,4.45,$-0.36,0.0
2013-03-31,4.65,$-0.37,0.0
2012-12-31,3.75,$-0.44,0.0
2012-09-30,4.1,$-0.40,0.0
2012-06-30,3.75,$-0.23,0.0
2012-03-31,4.68,$-0.17,0.0
2011-12-31,3.25,$0.10,31.71
2011-09-30,3.25,$0.10,31.54
2011-06-30,2.3,$0.01,158.62
2011-03-31,2.9,0,0.0
2010-12-31,1.45,$0.32,4.58
2010-09-30,1.95,$0.35,5.6
2010-06-30,1.75,$-0.05,0.0
2010-03-31,2.0,0,0.0
2009-12-31,2.5,$-0.48,0.0
