PureTech Health Price to Free Cash Flow Ratio Historical Data,PureTech Health Price to Free Cash Flow Ratio Historical Data,PureTech Health Price to Free Cash Flow Ratio Historical Data,PureTech Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.71,,inf
2023-12-31,28.18,0.0,0.0
2023-06-30,29.8,0.0,0.0
2022-12-31,31.9,0.0,0.0
