Can-Fite Biopharma Price to Free Cash Flow Ratio Historical Data,Can-Fite Biopharma Price to Free Cash Flow Ratio Historical Data,Can-Fite Biopharma Price to Free Cash Flow Ratio Historical Data,Can-Fite Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.51,,inf
2023-03-31,2.29,0,0.0
2022-03-31,12.4,0,0.0
2021-03-31,24.7,0,0.0
2020-03-31,13.1,0,0.0
2019-03-31,131.25,0,0.0
2018-03-31,216.0,$-152.27,0.0
2017-03-31,286.5,$-126.60,0.0
2016-03-31,418.5,$-152.27,0.0
2015-12-31,438.0,$-152.27,0.0
2015-09-30,621.0,$-140.08,0.0
2015-06-30,328.5,$-165.75,0.0
2015-03-31,334.5,$-140.08,0.0
2014-12-31,525.0,$-140.08,0.0
2014-09-30,490.5,$-61.25,0.0
2014-06-30,535.49,$-86.08,0.0
2014-03-31,753.0,$-114.41,0.0
2013-12-31,901.5,$-189.50,0.0
