Fonar Price to Free Cash Flow Ratio Historical Data,Fonar Price to Free Cash Flow Ratio Historical Data,Fonar Price to Free Cash Flow Ratio Historical Data,Fonar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.81,,11.39
2024-12-31,15.14,$1.21,12.49
2024-09-30,16.19,$1.56,10.37
2024-06-30,16.0,$1.95,8.21
2024-03-31,21.36,$1.84,11.59
2023-12-31,19.56,$1.75,11.18
2023-09-30,15.4,$1.57,9.79
2023-06-30,17.1,$1.45,11.76
2023-03-31,16.2,$1.57,10.3
2022-12-31,16.75,$1.64,10.21
2022-09-30,14.15,$1.76,8.03
2022-06-30,15.19,$1.52,9.98
2022-03-31,18.55,$1.67,11.13
2021-12-31,14.98,$1.68,8.93
2021-09-30,15.46,$1.74,8.87
2021-06-30,17.68,$2.22,7.97
2021-03-31,18.09,$2.24,8.07
2020-12-31,17.36,$2.12,8.19
2020-09-30,20.88,$2.07,10.08
2020-06-30,21.37,$1.85,11.54
2020-03-31,14.62,$1.93,7.56
2019-12-31,19.69,$2.06,9.55
2019-09-30,20.67,$2.12,9.73
2019-06-30,21.51,$2.34,9.18
2019-03-31,20.47,$2.34,8.74
2018-12-31,20.24,$2.39,8.46
2018-09-30,24.9,$2.38,10.46
2018-06-30,26.55,$2.35,11.31
2018-03-31,29.8,$2.42,12.33
2017-12-31,24.35,$2.35,10.35
2017-09-30,30.5,$2.13,14.34
2017-06-30,27.75,$2.09,13.27
2017-03-31,17.55,$2.08,8.43
2016-12-31,19.15,$2.05,9.33
2016-09-30,20.54,$2.32,8.86
2016-06-30,20.36,$2.42,8.4
2016-03-31,15.38,$2.21,6.97
2015-12-31,17.26,$2.25,7.66
2015-09-30,13.41,$2.09,6.42
2015-06-30,10.58,$2.00,5.28
2015-03-31,13.04,$1.86,6.99
2014-12-31,10.4,$1.86,5.61
2014-09-30,11.01,$1.83,6.02
2014-06-30,12.2,$1.96,6.23
2014-03-31,17.58,$1.47,11.93
2013-12-31,21.21,$1.40,15.14
2013-09-30,5.77,$1.34,4.31
2013-06-30,6.56,$0.99,6.6
2013-03-31,6.92,$1.32,5.25
2012-12-31,4.33,$1.29,3.36
2012-09-30,3.75,$1.08,3.47
2012-06-30,4.1,$1.01,4.07
2012-03-31,2.68,$0.80,3.35
2011-12-31,1.7,$0.51,3.37
2011-09-30,1.96,$0.56,3.48
2011-06-30,1.96,$0.44,4.44
2011-03-31,1.68,$0.28,5.94
2010-12-31,1.3,$0.21,6.08
2010-09-30,1.39,$-0.38,0.0
2010-06-30,1.47,$-0.35,0.0
2010-03-31,1.91,$-0.50,0.0
2009-12-31,1.57,$-1.64,0.0
