Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data,Caterpillar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,336.25,,17.25
2024-12-31,362.76,$19.50,18.61
2024-09-30,389.71,$20.92,18.63
2024-06-30,330.56,$21.43,15.43
2024-03-31,362.31,$21.61,16.77
2023-12-31,291.02,$20.59,14.14
2023-09-30,267.31,$18.16,14.72
2023-06-30,239.74,$15.30,15.67
2023-03-31,221.76,$13.43,16.52
2022-12-31,231.02,$11.31,20.43
2022-09-30,157.24,$9.04,17.39
2022-06-30,170.17,$7.69,22.12
2022-03-31,211.03,$7.60,27.77
2021-12-31,194.82,$10.92,17.84
2021-09-30,179.91,$12.11,14.86
2021-06-30,202.85,$12.07,16.8
2021-03-31,215.16,$10.78,19.96
2020-12-31,168.01,$9.08,18.49
2020-09-30,136.83,$9.45,14.47
2020-06-30,115.19,$7.94,14.51
2020-03-31,104.74,$9.60,10.91
2019-12-31,132.37,$9.51,13.92
2019-09-30,112.33,$8.62,13.03
2019-06-30,120.3,$9.24,13.02
2019-03-31,118.88,$8.27,14.37
2018-12-31,110.79,$7.64,14.51
2018-09-30,132.09,$5.38,24.54
2018-06-30,116.8,$5.38,21.7
2018-03-31,126.24,$6.15,20.54
2017-12-31,134.36,$7.57,17.76
2017-09-30,105.71,$9.52,11.11
2017-06-30,90.43,$9.14,9.89
2017-03-31,77.43,$8.45,9.17
2016-12-31,76.78,$6.18,12.43
2016-09-30,72.84,$5.68,12.82
2016-06-30,61.61,$5.98,10.31
2016-03-31,61.6,$5.85,10.52
2015-12-31,54.0,$6.98,7.74
2015-09-30,51.38,$6.95,7.39
2015-06-30,66.07,$7.80,8.47
2015-03-31,61.83,$7.77,7.95
2014-12-31,70.13,$8.88,7.9
2014-09-30,75.31,$9.47,7.95
2014-06-30,82.11,$10.61,7.74
2014-03-31,74.65,$11.56,6.46
2013-12-31,67.78,$10.00,6.77
2013-09-30,61.81,$8.77,7.05
2013-06-30,60.72,$5.65,10.75
2013-03-31,63.6,$3.23,19.71
2012-12-31,65.53,$1.83,35.82
2012-09-30,62.18,$1.47,42.34
2012-06-30,60.98,$3.31,18.42
2012-03-31,76.18,$5.28,14.44
2011-12-31,64.51,$6.59,9.79
2011-09-30,52.29,$8.24,6.35
2011-06-30,75.07,$7.06,10.63
2011-03-31,78.2,$5.62,13.91
2010-12-31,65.48,$5.98,10.94
2010-09-30,54.7,$6.06,9.02
2010-06-30,41.48,$7.13,5.82
2010-03-31,43.13,$8.15,5.29
2009-12-31,38.83,$8.42,4.61
