FibroGen Price to Free Cash Flow Ratio Historical Data,FibroGen Price to Free Cash Flow Ratio Historical Data,FibroGen Price to Free Cash Flow Ratio Historical Data,FibroGen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.34,,0.0
2024-12-31,0.53,$-1.37,0.0
2024-09-30,0.4,$-1.28,0.0
2024-06-30,0.89,$-2.07,0.0
2024-03-31,2.35,$-2.79,0.0
2023-12-31,0.89,$-3.26,0.0
2023-09-30,0.86,$-3.61,0.0
2023-06-30,2.7,$-3.31,0.0
2023-03-31,18.66,$-2.56,0.0
2022-12-31,16.02,$-1.60,0.0
2022-09-30,13.01,$-1.64,0.0
2022-06-30,10.56,$-0.62,0.0
2022-03-31,12.02,$-0.56,0.0
2021-12-31,14.1,$-0.95,0.0
2021-09-30,10.22,$-0.40,0.0
2021-06-30,26.63,$-0.93,0.0
2021-03-31,34.71,$1.05,33.16
2020-12-31,37.09,$0.86,42.94
2020-09-30,41.12,$0.39,105.65
2020-06-30,40.53,$0.11,364.15
2020-03-31,34.75,$-1.91,0.0
2019-12-31,42.89,$-0.97,0.0
2019-09-30,36.98,$-0.68,0.0
2019-06-30,45.18,$-0.25,0.0
2019-03-31,54.35,$-0.33,0.0
2018-12-31,46.28,$-1.00,0.0
2018-09-30,60.75,$-0.85,0.0
2018-06-30,62.6,$-1.17,0.0
2018-03-31,46.2,$-1.00,0.0
2017-12-31,47.4,$-1.03,0.0
2017-09-30,53.8,$-1.22,0.0
2017-06-30,32.3,$-0.99,0.0
2017-03-31,24.65,$-0.05,0.0
2016-12-31,21.4,$0.09,229.37
2016-09-30,20.7,$-0.26,0.0
2016-06-30,16.41,$-0.80,0.0
2016-03-31,21.29,$0.09,242.48
2015-12-31,30.47,$-0.34,0.0
2015-09-30,21.92,$0.72,30.27
