Ekso Bionics Holdings Price to Free Cash Flow Ratio Historical Data,Ekso Bionics Holdings Price to Free Cash Flow Ratio Historical Data,Ekso Bionics Holdings Price to Free Cash Flow Ratio Historical Data,Ekso Bionics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.45,,0.0
2024-12-31,0.61,$-0.49,0.0
2024-09-30,1.16,$-0.53,0.0
2024-06-30,1.06,$-0.68,0.0
2024-03-31,1.36,$-0.75,0.0
2023-12-31,2.5,$-0.87,0.0
2023-09-30,0.73,$-1.04,0.0
2023-06-30,1.43,$-1.02,0.0
2023-03-31,1.65,$-1.14,0.0
2022-12-31,1.19,$-1.15,0.0
2022-09-30,1.56,$-1.13,0.0
2022-06-30,1.65,$-1.13,0.0
2022-03-31,2.89,$-1.06,0.0
2021-12-31,2.65,$-0.91,0.0
2021-09-30,4.62,$-1.03,0.0
2021-06-30,5.5,$-0.74,0.0
2021-03-31,6.17,$-1.11,0.0
2020-12-31,6.13,$-1.22,0.0
2020-09-30,4.75,$-1.27,0.0
2020-06-30,8.4,$-2.15,0.0
2020-03-31,2.83,$-2.40,0.0
2019-12-31,5.87,$-3.30,0.0
2019-09-30,7.95,$-4.16,0.0
2019-06-30,19.05,$-4.36,0.0
2019-03-31,37.65,$-4.97,0.0
2018-12-31,18.6,$-5.46,0.0
2018-09-30,35.1,$-6.31,0.0
2018-06-30,26.85,$-6.46,0.0
2018-03-31,23.7,$-9.97,0.0
2017-12-31,31.95,$-13.34,0.0
2017-09-30,18.15,$-15.42,0.0
2017-06-30,34.8,$-31.06,0.0
