UnitedHealth Group Price to Free Cash Flow Ratio Historical Data,UnitedHealth Group Price to Free Cash Flow Ratio Historical Data,UnitedHealth Group Price to Free Cash Flow Ratio Historical Data,UnitedHealth Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,511.3,,22.94
2024-12-31,505.86,$22.29,22.7
2024-09-30,582.5,$14.07,41.41
2024-06-30,505.56,$6.75,74.93
2024-03-31,489.0,$11.31,43.25
2023-12-31,518.36,$27.38,18.93
2023-09-30,494.73,$28.26,17.5
2023-06-30,469.78,$40.49,11.6
2023-03-31,460.06,$36.15,12.73
2022-12-31,514.28,$24.64,20.88
2022-09-30,488.39,$33.00,14.8
2022-06-30,495.14,$21.47,23.07
2022-03-31,489.84,$20.12,24.35
2021-12-31,480.87,$20.80,23.11
2021-09-30,372.99,$23.95,15.57
2021-06-30,380.88,$19.31,19.73
2021-03-31,352.58,$24.05,14.66
2020-12-31,331.15,$20.94,15.81
2020-09-30,293.36,$20.89,14.04
2020-06-30,276.39,$21.06,13.12
2020-03-31,232.68,$16.80,13.85
2019-12-31,273.21,$16.97,16.1
2019-09-30,201.19,$13.12,15.33
2019-06-30,224.86,$10.70,21.02
2019-03-31,226.86,$8.63,26.29
2018-12-31,227.7,$13.89,16.4
2018-09-30,242.39,$8.82,27.49
2018-06-30,222.79,$15.56,14.32
2018-03-31,193.65,$13.64,14.19
2017-12-31,198.83,$11.75,16.92
2017-09-30,176.06,$13.00,13.54
2017-06-30,166.05,$12.88,12.89
2017-03-31,146.27,$12.50,11.7
2016-12-31,142.2,$8.36,17.01
2016-09-30,123.91,$13.43,9.22
2016-06-30,124.39,$8.95,13.9
2016-03-31,113.04,$8.46,13.36
2015-12-31,102.74,$8.46,12.14
2015-09-30,100.89,$7.37,13.69
2015-06-30,105.64,$7.71,13.7
2015-03-31,102.0,$7.52,13.57
2014-12-31,86.88,$6.62,13.13
2014-09-30,73.85,$5.18,14.27
2014-06-30,69.7,$5.28,13.2
2014-03-31,69.57,$5.91,11.78
2013-12-31,63.67,$5.56,11.46
2013-09-30,60.32,$6.27,9.62
2013-06-30,54.95,$2.76,19.94
2013-03-31,47.8,$3.40,14.07
2012-12-31,45.14,$5.82,7.76
2012-09-30,45.94,$3.91,11.74
2012-06-30,48.3,$8.79,5.49
2012-03-31,48.49,$7.68,6.31
2011-12-31,41.57,$5.47,7.6
2011-09-30,37.71,$7.03,5.36
2011-06-30,42.02,$5.11,8.22
2011-03-31,36.7,$4.76,7.71
2010-12-31,29.24,$4.77,6.13
2010-09-30,28.34,$4.64,6.11
2010-06-30,22.84,$4.44,5.14
2010-03-31,26.14,$4.29,6.1
2009-12-31,24.39,$4.14,5.88
