Deswell Industries Price to Free Cash Flow Ratio Historical Data,Deswell Industries Price to Free Cash Flow Ratio Historical Data,Deswell Industries Price to Free Cash Flow Ratio Historical Data,Deswell Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.38,,9.44
2019-09-30,1.87,$0.25,7.4
2018-09-30,2.36,$0.08,31.41
2016-03-31,1.03,$0.08,13.37
2015-12-31,0.85,$-0.06,0.0
2015-09-30,0.9,$-0.12,0.0
2015-06-30,1.02,$-0.21,0.0
2015-03-31,1.02,$-0.14,0.0
2014-12-31,0.96,$-0.12,0.0
2014-09-30,1.16,$-0.12,0.0
2014-06-30,1.07,$-0.10,0.0
2014-03-31,1.05,$-0.10,0.0
2013-12-31,1.11,$-0.02,0.0
2013-09-30,1.19,$0.32,3.7
2013-06-30,1.18,$0.35,3.33
2013-03-31,1.18,$0.46,2.58
2012-12-31,1.1,$0.46,2.36
2012-09-30,1.24,$0.36,3.47
2012-06-30,1.16,$0.59,1.95
2012-03-31,1.02,$0.69,1.47
2011-12-31,0.89,$0.68,1.3
2011-09-30,1.04,$0.58,1.79
2011-06-30,1.18,$0.14,8.6
2011-03-31,1.19,$-0.26,0.0
2010-12-31,1.29,$-0.51,0.0
2010-09-30,1.15,$-0.44,0.0
2010-06-30,1.44,$0.49,2.93
2010-03-31,1.62,$1.14,1.42
2009-12-31,1.56,$1.57,0.99
