Health Catalyst Price to Free Cash Flow Ratio Historical Data,Health Catalyst Price to Free Cash Flow Ratio Historical Data,Health Catalyst Price to Free Cash Flow Ratio Historical Data,Health Catalyst Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.33,,0.0
2024-12-31,7.07,$-0.02,0.0
2024-09-30,8.14,$-0.27,0.0
2024-06-30,6.39,$-0.30,0.0
2024-03-31,7.53,$-0.53,0.0
2023-12-31,9.26,$-0.82,0.0
2023-09-30,10.12,$-0.77,0.0
2023-06-30,12.5,$-1.07,0.0
2023-03-31,11.67,$-1.05,0.0
2022-12-31,10.63,$-0.93,0.0
2022-09-30,9.7,$-0.89,0.0
2022-06-30,14.49,$-0.74,0.0
2022-03-31,26.13,$-0.67,0.0
2021-12-31,39.62,$-0.85,0.0
2021-09-30,50.01,$-0.84,0.0
2021-06-30,55.51,$-0.81,0.0
2021-03-31,46.77,$-0.65,0.0
2020-12-31,43.53,$-0.89,0.0
2020-09-30,36.6,$-1.70,0.0
2020-06-30,29.17,$-2.33,0.0
