Baijiayun Group Price to Free Cash Flow Ratio Historical Data,Baijiayun Group Price to Free Cash Flow Ratio Historical Data,Baijiayun Group Price to Free Cash Flow Ratio Historical Data,Baijiayun Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.3,,0.0
2022-06-30,5.26,$-15.23,0.0
2022-03-31,7.0,$3.18,2.2
2021-06-30,12.35,$39.41,0.31
2021-03-31,10.39,$28.75,0.36
2020-09-30,3.74,$20.12,0.19
2020-06-30,5.33,$9.07,0.59
2020-03-31,1.99,$0.46,4.35
2019-09-30,2.66,$9.91,0.27
2019-06-30,1.91,$8.31,0.23
2019-03-31,2.58,$4.54,0.57
2018-09-30,1.84,$8.21,0.22
2018-06-30,2.91,$3.80,0.77
2018-03-31,2.91,$3.98,0.73
2017-09-30,2.62,$0.29,9.06
2017-06-30,2.99,$-1.51,0.0
2017-03-31,3.35,$-2.04,0.0
2016-09-30,2.03,$-0.15,0.0
2016-06-30,4.08,$-2.05,0.0
2016-03-31,2.08,$-3.44,0.0
2015-12-31,3.04,$-4.32,0.0
2015-09-30,3.68,$-3.70,0.0
2015-06-30,3.84,$-4.32,0.0
2015-03-31,2.36,$-3.90,0.0
2014-12-31,2.66,$-3.02,0.0
2014-09-30,4.12,$-8.13,0.0
2014-06-30,4.88,$-3.02,0.0
2014-03-31,7.04,$-2.54,0.0
2013-12-31,4.48,$-2.85,0.0
2013-09-30,5.04,$10.40,0.48
2013-06-30,4.16,$-2.85,0.0
2013-03-31,5.68,$5.70,1.0
2012-12-31,5.8,$19.72,0.29
2012-09-30,5.52,$4.61,1.2
2012-06-30,4.48,$19.72,0.23
2012-03-31,6.8,$4.58,1.49
2011-12-31,4.92,$-25.71,0.0
2011-09-30,9.2,$-17.88,0.0
2011-06-30,12.0,$-3.64,0.0
2011-03-31,16.32,$7.41,2.2
2010-12-31,12.84,$24.32,0.53
2010-09-30,5.04,$18.85,0.27
2010-06-30,3.24,$3.90,0.83
2010-03-31,4.5,$0.15,29.44
2009-12-31,4.88,$2.28,2.14
