InvenTrust Properties Price to Free Cash Flow Ratio Historical Data,InvenTrust Properties Price to Free Cash Flow Ratio Historical Data,InvenTrust Properties Price to Free Cash Flow Ratio Historical Data,InvenTrust Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.97,,0.0
2024-12-31,30.13,$-1.44,0.0
2024-09-30,28.37,$0.19,152.61
2024-06-30,24.76,$0.66,37.74
2024-03-31,25.71,$0.98,26.23
2023-12-31,25.34,$-0.67,0.0
2023-09-30,23.81,$-1.72,0.0
2023-06-30,23.14,$-1.71,0.0
2023-03-31,23.4,$-1.10,0.0
2022-12-31,23.67,$-0.96,0.0
2022-09-30,21.33,$0.29,73.5
