Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data,Juniper Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,36.16,,17.99
2024-12-31,37.45,$2.01,18.63
2024-09-30,38.74,$1.16,33.54
2024-06-30,36.03,$1.58,22.81
2024-03-31,36.63,$2.63,13.9
2023-12-31,28.96,$2.19,13.23
2023-09-30,27.09,$2.55,10.62
2023-06-30,30.31,$1.74,17.45
2023-03-31,33.06,$-0.08,0.0
2022-12-31,30.48,$-0.02,0.0
2022-09-30,24.76,$-0.03,0.0
2022-06-30,26.81,$0.20,131.25
2022-03-31,34.73,$1.80,19.34
2021-12-31,33.16,$1.78,18.65
2021-09-30,25.39,$1.80,14.12
2021-06-30,25.06,$1.75,14.36
2021-03-31,23.04,$1.27,18.14
2020-12-31,20.3,$1.53,13.3
2020-09-30,19.21,$1.44,13.32
2020-06-30,20.27,$1.63,12.43
2020-03-31,16.83,$1.58,10.66
2019-12-31,21.45,$1.20,17.82
2019-09-30,21.4,$1.49,14.34
2019-06-30,22.83,$1.54,14.86
2019-03-31,22.52,$1.75,12.85
2018-12-31,22.73,$2.01,11.29
2018-09-30,25.32,$1.94,13.06
2018-06-30,23.02,$1.89,12.18
2018-03-31,20.29,$2.19,9.25
2017-12-31,23.6,$2.88,8.18
2017-09-30,22.96,$3.24,7.1
2017-06-30,22.92,$3.30,6.94
2017-03-31,22.8,$3.36,6.78
2016-12-31,23.07,$2.35,9.81
2016-09-30,19.57,$1.73,11.34
2016-06-30,18.21,$1.80,10.13
2016-03-31,20.57,$1.62,12.71
2015-12-31,22.17,$1.73,12.85
2015-09-30,20.58,$2.10,9.8
2015-06-30,20.71,$1.31,15.84
2015-03-31,17.94,$1.53,11.69
2014-12-31,17.66,$1.25,14.16
2014-09-30,17.45,$1.42,12.28
2014-06-30,19.25,$1.89,10.2
2014-03-31,20.2,$1.50,13.48
2013-12-31,17.7,$1.21,14.67
2013-09-30,15.58,$0.64,24.35
2013-06-30,15.14,$0.54,27.94
2013-03-31,14.54,$0.36,40.81
2012-12-31,15.43,$0.55,27.99
2012-09-30,13.42,$0.74,18.24
2012-06-30,12.79,$0.79,16.11
2012-03-31,17.94,$1.03,17.42
2011-12-31,16.01,$1.33,12.03
2011-09-30,13.54,$1.63,8.3
2011-06-30,24.71,$1.55,15.92
2011-03-31,33.0,$1.41,23.45
2010-12-31,28.96,$1.16,24.88
2010-09-30,23.8,$0.99,24.15
2010-06-30,17.9,$1.19,15.07
2010-03-31,24.06,$1.05,22.89
2009-12-31,20.92,$1.20,17.37
