Innovid Price to Free Cash Flow Ratio Historical Data,Innovid Price to Free Cash Flow Ratio Historical Data,Innovid Price to Free Cash Flow Ratio Historical Data,Innovid Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,3.17,,60.5
2024-09-30,1.8,$0.05,34.35
2024-06-30,1.85,$0.04,43.02
2024-03-31,2.49,$0.03,82.72
2023-12-31,1.5,$-0.02,0.0
2023-09-30,1.28,$-0.03,0.0
2023-03-31,1.41,$-0.12,0.0
2022-12-31,1.71,$-0.17,0.0
2022-09-30,2.71,$-0.30,0.0
2022-06-30,1.66,$-0.43,0.0
2022-03-31,6.04,$-0.52,0.0
2021-12-31,6.65,$-0.21,0.0
