Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,575.45,,27.23
2024-12-31,519.85,$21.13,24.6
2024-09-30,555.67,$20.21,27.49
2024-06-30,562.13,$19.21,29.26
2024-03-31,558.53,$18.54,30.12
2023-12-31,542.16,$17.94,30.22
2023-09-30,480.93,$13.02,36.95
2023-06-30,476.8,$9.52,50.08
2023-03-31,436.34,$6.04,72.29
2022-12-31,427.17,$6.22,68.68
2022-09-30,354.96,$11.04,32.17
2022-06-30,388.92,$12.93,30.08
2022-03-31,464.77,$17.53,26.51
2021-12-31,483.44,$18.34,26.35
2021-09-30,437.95,$18.37,23.84
2021-06-30,461.04,$15.51,29.72
2021-03-31,394.94,$15.82,24.97
2020-12-31,421.56,$14.03,30.05
2020-09-30,385.88,$13.10,29.45
2020-06-30,378.69,$15.60,24.27
2020-03-31,303.62,$14.16,21.45
2019-12-31,344.44,$13.40,25.7
2019-09-30,346.28,$13.29,26.06
2019-06-30,355.22,$13.47,26.38
2019-03-31,331.22,$13.15,25.19
2018-12-31,258.14,$13.14,19.65
2018-09-30,286.5,$12.27,23.36
2018-06-30,266.47,$11.31,23.56
2018-03-31,270.67,$10.45,25.9
2017-12-31,249.37,$11.35,21.97
2017-09-30,234.02,$10.45,22.39
2017-06-30,222.28,$10.55,21.07
2017-03-31,197.9,$10.58,18.71
2016-12-31,175.14,$9.01,19.43
2016-09-30,174.27,$9.03,19.31
2016-06-30,162.6,$8.19,19.86
2016-03-31,173.95,$8.22,21.17
2015-12-31,180.33,$8.76,20.58
2015-09-30,148.67,$8.71,17.06
2015-06-30,163.39,$8.69,18.8
2015-03-31,162.71,$8.39,19.39
2014-12-31,147.66,$7.93,18.62
2014-09-30,137.97,$7.71,17.91
2014-06-30,137.52,$8.00,17.2
2014-03-31,125.56,$7.99,15.71
2013-12-31,130.23,$7.58,17.17
2013-09-30,124.61,$7.36,16.93
2013-06-30,116.35,$6.90,16.87
2013-03-31,119.09,$6.70,17.77
2012-12-31,104.28,$6.42,16.24
2012-09-30,102.51,$6.22,16.49
2012-06-30,91.83,$5.85,15.71
2012-03-31,92.23,$6.23,14.8
2011-12-31,80.68,$5.70,14.15
2011-09-30,63.9,$5.39,11.87
2011-06-30,77.14,$5.16,14.96
2011-03-31,79.97,$4.74,16.86
2010-12-31,70.59,$4.87,14.49
2010-09-30,60.11,$4.57,13.17
2010-06-30,51.52,$4.06,12.69
2010-03-31,53.17,$4.11,12.93
2009-12-31,48.05,$3.68,13.06
