Huntsman Price to Free Cash Flow Ratio Historical Data,Huntsman Price to Free Cash Flow Ratio Historical Data,Huntsman Price to Free Cash Flow Ratio Historical Data,Huntsman Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.34,,31.24
2024-12-31,18.03,$0.52,34.47
2024-09-30,23.89,$0.32,73.66
2024-06-30,22.22,$0.43,51.48
2024-03-31,25.13,$0.34,73.19
2023-12-31,24.03,$-0.12,0.0
2023-09-30,23.12,$0.49,47.38
2023-06-30,25.37,$1.07,23.78
2023-03-31,25.45,$1.98,12.85
2022-12-31,25.34,$3.16,8.01
2022-09-30,22.46,$5.28,4.25
2022-06-30,25.74,$4.62,5.57
2022-03-31,33.82,$3.44,9.83
2021-12-31,31.28,$2.83,11.06
2021-09-30,26.38,$0.42,62.27
2021-06-30,23.48,$0.03,869.47
2021-03-31,25.34,$0.50,50.4
2020-12-31,21.98,$0.41,53.59
2020-09-30,19.29,$0.24,79.15
2020-06-30,15.5,$1.75,8.88
2020-03-31,12.33,$2.70,4.57
2019-12-31,20.42,$2.92,7.0
2019-09-30,19.53,$3.00,6.52
2019-06-30,17.04,$2.44,6.99
2019-03-31,18.59,$3.13,5.95
2018-12-31,15.84,$3.96,4.0
2018-09-30,22.17,$4.91,4.52
2018-06-30,23.63,$5.02,4.7
2018-03-31,23.56,$4.30,5.47
2017-12-31,26.67,$4.04,6.6
2017-09-30,21.88,$2.97,7.38
2017-06-30,20.53,$3.36,6.12
2017-03-31,19.39,$3.43,5.65
2016-12-31,14.99,$3.21,4.67
2016-09-30,12.71,$3.38,3.76
2016-06-30,10.41,$1.99,5.23
2016-03-31,10.21,$0.88,11.56
2015-12-31,8.64,$0.46,18.61
2015-09-30,7.28,$0.41,17.88
2015-06-30,16.44,$1.12,14.65
2015-03-31,16.42,$0.89,18.4
2014-12-31,16.78,$0.65,25.96
2014-09-30,19.04,$0.56,33.89
2014-06-30,20.5,$0.79,25.84
2014-03-31,17.73,$0.95,18.71
2013-12-31,17.77,$0.98,18.18
2013-09-30,14.81,$0.61,24.32
2013-06-30,11.83,$-0.02,0.0
2013-03-31,13.18,$0.37,35.76
2012-12-31,11.2,$1.50,7.44
2012-09-30,10.45,$2.23,4.68
2012-06-30,9.0,$1.42,6.35
2012-03-31,9.67,$1.36,7.13
2011-12-31,6.85,$0.14,47.31
2011-09-30,6.56,$-0.05,0.0
2011-06-30,12.68,$0.41,31.0
2011-03-31,11.62,$-0.11,0.0
2010-12-31,10.38,$-1.25,0.0
2010-09-30,7.63,$-1.44,0.0
2010-06-30,5.67,$-1.67,0.0
2010-03-31,7.8,$2.37,3.29
2009-12-31,7.25,$3.84,1.89
