KVH Industries Price to Free Cash Flow Ratio Historical Data,KVH Industries Price to Free Cash Flow Ratio Historical Data,KVH Industries Price to Free Cash Flow Ratio Historical Data,KVH Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.4,,0.0
2024-12-31,5.7,$-0.99,0.0
2024-09-30,4.83,$-0.95,0.0
2024-06-30,4.65,$-1.07,0.0
2024-03-31,5.1,$-0.12,0.0
2023-12-31,5.26,$-0.42,0.0
2023-09-30,5.1,$-0.14,0.0
2023-06-30,9.14,$-0.10,0.0
2023-03-31,11.38,$-0.33,0.0
2022-12-31,10.22,$-0.30,0.0
2022-09-30,9.22,$-0.82,0.0
2022-06-30,8.7,$-1.16,0.0
2022-03-31,9.1,$-1.29,0.0
2021-12-31,9.19,$-0.86,0.0
2021-09-30,9.63,$-0.94,0.0
2021-06-30,12.3,$-0.71,0.0
2021-03-31,12.68,$-0.61,0.0
2020-12-31,11.35,$-0.97,0.0
2020-09-30,9.01,$-1.08,0.0
2020-06-30,8.93,$-1.33,0.0
2020-03-31,9.43,$-1.64,0.0
2019-12-31,11.13,$-1.52,0.0
2019-09-30,10.65,$-1.24,0.0
2019-06-30,10.87,$-0.88,0.0
2019-03-31,10.19,$-0.60,0.0
2018-12-31,10.29,$-0.63,0.0
2018-09-30,13.1,$-0.59,0.0
2018-06-30,13.4,$-0.58,0.0
2018-03-31,10.35,$-0.48,0.0
2017-12-31,10.35,$-0.08,0.0
2017-09-30,11.95,$-0.12,0.0
2017-06-30,9.5,$0.42,22.43
2017-03-31,8.4,$0.50,16.85
2016-12-31,11.8,$0.83,14.3
2016-09-30,8.81,$0.69,12.71
2016-06-30,7.7,$0.48,16.01
2016-03-31,9.55,$0.51,18.57
2015-12-31,9.42,$0.17,55.18
2015-09-30,10.0,$0.25,40.34
2015-06-30,13.45,$0.46,28.99
2015-03-31,15.12,$0.55,27.56
2014-12-31,12.65,$0.34,37.58
2014-09-30,11.32,$0.30,37.61
2014-06-30,13.03,$0.04,358.95
2014-03-31,13.16,$0.56,23.5
2013-12-31,13.03,$0.75,17.33
2013-09-30,13.8,$1.20,11.5
2013-06-30,13.31,$1.10,12.14
2013-03-31,13.57,$0.48,28.44
2012-12-31,13.98,$0.57,24.55
2012-09-30,13.49,$0.06,241.32
2012-06-30,12.5,$-0.34,0.0
2012-03-31,10.5,$-0.48,0.0
2011-12-31,7.78,$-0.81,0.0
2011-09-30,7.91,$-0.64,0.0
2011-06-30,10.63,$-0.59,0.0
2011-03-31,15.12,$-0.22,0.0
2010-12-31,11.95,$-0.10,0.0
2010-09-30,15.01,$-0.17,0.0
2010-06-30,12.42,$0.00,0.0
2010-03-31,13.19,$-0.10,0.0
2009-12-31,14.74,$-0.30,0.0
