Blackboxstocks Price to Free Cash Flow Ratio Historical Data,Blackboxstocks Price to Free Cash Flow Ratio Historical Data,Blackboxstocks Price to Free Cash Flow Ratio Historical Data,Blackboxstocks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.8,,0.0
2024-09-30,2.5,$-0.18,0.0
2024-06-30,2.7,$-0.34,0.0
2024-03-31,2.52,$-0.72,0.0
2023-12-31,2.82,$-0.98,0.0
2023-09-30,2.75,$-1.24,0.0
2023-06-30,3.0,$-1.55,0.0
2023-03-31,3.08,$-1.46,0.0
2022-12-31,1.2,$-1.32,0.0
2022-09-30,2.96,$-1.16,0.0
