Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data,Jabil Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,143.83,,15.7
2024-11-30,135.83,$9.16,14.83
2024-08-31,109.21,$8.49,12.87
2024-05-31,118.74,$10.05,11.81
2024-02-29,143.79,$8.47,16.98
2023-11-30,115.02,$8.84,13.0
2023-08-31,114.05,$7.55,15.11
2023-05-31,89.17,$7.31,12.2
2023-02-28,82.62,$6.94,11.91
2022-11-30,71.76,$6.43,11.16
2022-08-31,59.87,$5.61,10.67
2022-05-31,61.01,$4.71,12.96
2022-02-28,57.25,$5.72,10.02
2021-11-30,57.81,$4.56,12.68
2021-08-31,61.02,$4.21,14.5
2021-05-31,55.68,$3.39,16.42
2021-02-28,42.52,$3.11,13.66
2020-11-30,37.58,$3.00,12.52
2020-08-31,33.5,$2.97,11.29
2020-05-31,29.29,$5.93,4.94
2020-02-29,31.28,$2.22,14.11
2019-11-30,37.83,$3.28,11.53
2019-08-31,28.0,$2.56,10.94
2019-05-31,23.9,$-2.26,0.0
2019-02-28,27.52,$-5.43,0.0
2018-11-30,24.13,$-7.44,0.0
2018-08-31,28.47,$-10.24,0.0
2018-05-31,27.16,$-22.56,0.0
2018-02-28,25.95,$-17.66,0.0
2017-11-30,27.55,$-15.44,0.0
2017-08-31,29.85,$-10.79,0.0
2017-05-31,28.41,$1.45,19.62
2017-02-28,24.16,$2.28,10.6
2016-11-30,19.97,$0.57,34.8
2016-08-31,19.93,$0.09,213.37
2016-05-31,17.88,$-0.16,0.0
2016-02-29,19.44,$-0.77,0.0
2015-11-30,23.76,$0.98,24.14
2015-08-31,17.91,$1.50,11.97
2015-05-31,22.64,$0.33,69.1
2015-02-28,20.18,$1.17,17.19
2014-11-30,18.99,$0.54,35.11
2014-08-31,19.68,$0.18,108.52
2014-05-31,17.09,$1.27,13.45
2014-02-28,16.74,$1.97,8.51
2013-11-30,18.25,$2.05,8.91
2013-08-31,20.47,$2.37,8.63
2013-05-31,17.93,$2.91,6.16
2013-02-28,16.67,$1.23,13.53
2012-11-30,16.84,$0.57,29.51
2012-08-31,20.1,$0.72,27.75
2012-05-31,16.82,$0.39,43.44
2012-02-29,22.62,$0.23,99.12
2011-11-30,17.69,$2.71,6.53
2011-08-31,14.65,$1.78,8.24
2011-05-31,18.68,$1.60,11.69
2011-02-28,18.49,$0.98,18.89
2010-11-30,13.0,$-0.84,0.0
2010-08-31,8.78,$0.18,48.65
2010-05-31,11.65,$0.11,108.39
2010-02-28,12.85,$0.68,18.91
2009-11-30,11.22,$1.51,7.42
