Stoneridge Price to Free Cash Flow Ratio Historical Data,Stoneridge Price to Free Cash Flow Ratio Historical Data,Stoneridge Price to Free Cash Flow Ratio Historical Data,Stoneridge Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.31,,6.15
2024-12-31,6.27,$0.86,7.26
2024-09-30,11.19,$0.37,30.39
2024-06-30,15.96,$-0.21,0.0
2024-03-31,18.44,$-0.38,0.0
2023-12-31,19.57,$-1.15,0.0
2023-09-30,20.07,$-0.37,0.0
2023-06-30,18.85,$-0.47,0.0
2023-03-31,18.7,$-0.57,0.0
2022-12-31,21.56,$-0.90,0.0
2022-09-30,16.95,$-2.51,0.0
2022-06-30,17.15,$-2.17,0.0
2022-03-31,20.76,$-2.40,0.0
2021-12-31,19.74,$-2.30,0.0
2021-09-30,20.39,$-1.07,0.0
2021-06-30,29.5,$-0.58,0.0
2021-03-31,31.81,$-0.54,0.0
2020-12-31,30.23,$-0.14,0.0
2020-09-30,18.37,$-0.72,0.0
2020-06-30,20.66,$-1.01,0.0
2020-03-31,16.75,$-0.52,0.0
2019-12-31,29.32,$-0.52,0.0
2019-09-30,30.97,$0.57,54.26
2019-06-30,31.55,$0.98,32.03
2019-03-31,28.86,$1.32,21.86
2018-12-31,24.65,$1.78,13.82
2018-09-30,29.72,$1.57,18.99
2018-06-30,35.14,$1.63,21.58
2018-03-31,27.6,$1.51,18.28
2017-12-31,22.86,$1.63,14.05
2017-09-30,19.81,$1.71,11.62
2017-06-30,15.41,$1.66,9.26
2017-03-31,18.14,$1.75,10.35
2016-12-31,17.69,$1.46,12.08
2016-09-30,18.4,$1.84,10.01
2016-06-30,14.94,$1.64,9.12
2016-03-31,14.56,$1.19,12.21
2015-12-31,14.8,$0.93,15.83
2015-09-30,12.34,$0.34,36.39
2015-06-30,11.71,$0.06,186.76
2015-03-31,11.29,$0.12,93.38
2014-12-31,12.86,$-0.18,0.0
2014-09-30,11.27,$-0.21,0.0
2014-06-30,10.72,$0.22,48.57
2014-03-31,11.23,$0.15,72.73
2013-12-31,12.75,$0.68,18.79
2013-09-30,10.81,$1.23,8.79
2013-06-30,11.64,$1.51,7.7
2013-03-31,7.63,$1.63,4.69
2012-12-31,5.12,$1.83,2.8
2012-09-30,4.97,$1.43,3.49
2012-06-30,6.81,$0.69,9.91
2012-03-31,9.89,$-0.09,0.0
2011-12-31,8.43,$-0.87,0.0
2011-09-30,5.22,$-1.45,0.0
2011-06-30,14.74,$-1.11,0.0
2011-03-31,14.62,$-0.55,0.0
2010-12-31,15.79,$-0.19,0.0
2010-09-30,10.51,$0.27,39.5
2010-06-30,7.59,$-0.11,0.0
2010-03-31,9.89,$-0.25,0.0
2009-12-31,9.01,$0.09,105.01
