Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data,Microsoft Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,386.84,,41.26
2024-12-31,421.5,$9.38,44.95
2024-09-30,429.44,$9.73,44.16
2024-06-30,445.26,$9.92,44.9
2024-03-31,418.39,$9.44,44.32
2023-12-31,373.27,$9.03,41.34
2023-09-30,312.79,$8.47,36.93
2023-06-30,336.63,$7.96,42.29
2023-03-31,284.38,$7.66,37.11
2022-12-31,235.96,$7.94,29.72
2022-09-30,228.51,$8.43,27.12
2022-06-30,251.45,$8.64,29.1
2022-03-31,301.12,$8.42,35.76
2021-12-31,327.8,$8.01,40.94
2021-09-30,274.28,$7.96,34.45
2021-06-30,263.05,$7.38,35.66
2021-03-31,228.41,$7.06,32.37
2020-12-31,214.98,$6.59,32.61
2020-09-30,202.76,$6.42,31.57
2020-06-30,195.71,$5.89,33.24
2020-03-31,151.25,$5.63,26.86
2019-12-31,150.83,$5.26,28.7
2019-09-30,132.52,$4.99,26.54
2019-06-30,127.69,$4.93,25.87
2019-03-31,112.01,$4.34,25.82
2018-12-31,96.05,$4.08,23.55
2018-09-30,107.68,$4.11,26.19
2018-06-30,92.48,$4.14,22.35
2018-03-31,85.23,$4.29,19.87
2017-12-31,79.51,$4.28,18.57
2017-09-30,68.89,$4.14,16.66
2017-06-30,63.41,$4.01,15.83
2017-03-31,60.25,$3.62,16.66
2016-12-31,56.51,$3.49,16.21
2016-09-30,52.03,$3.38,15.4
2016-06-30,45.94,$3.12,14.73
2016-03-31,49.23,$3.01,16.35
2015-12-31,49.11,$3.06,16.05
2015-09-30,38.86,$2.96,13.14
2015-06-30,38.56,$2.87,13.42
2015-03-31,35.28,$3.26,10.81
2014-12-31,40.02,$3.26,12.27
2014-09-30,39.69,$3.24,12.26
2014-06-30,35.48,$3.22,11.03
2014-03-31,34.64,$2.69,12.87
2013-12-31,31.38,$2.66,11.79
2013-09-30,27.7,$2.80,9.89
2013-06-30,28.55,$2.90,9.84
2013-03-31,23.48,$3.26,7.21
2012-12-31,21.75,$3.25,6.69
2012-09-30,24.03,$3.43,7.01
2012-06-30,24.54,$3.45,7.12
2012-03-31,25.7,$3.21,7.99
2011-12-31,20.55,$3.13,6.56
2011-09-30,19.56,$2.94,6.65
2011-06-30,20.3,$2.87,7.08
2011-03-31,19.7,$2.80,7.02
2010-12-31,21.52,$2.65,8.12
2010-09-30,18.77,$2.72,6.9
2010-06-30,17.54,$2.48,7.09
2010-03-31,22.23,$2.26,9.84
2009-12-31,23.03,$2.92,7.9
