Achilles Therapeutics Price to Free Cash Flow Ratio Historical Data,Achilles Therapeutics Price to Free Cash Flow Ratio Historical Data,Achilles Therapeutics Price to Free Cash Flow Ratio Historical Data,Achilles Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.48,,0.0
2024-09-30,1.02,$-1.59,0.0
2024-06-30,0.82,$-1.21,0.0
2024-03-31,1.25,$-1.23,0.0
2023-12-31,0.89,$-1.24,0.0
2023-09-30,0.91,$-1.43,0.0
2023-06-30,0.95,$-1.58,0.0
2023-03-31,0.96,$-1.60,0.0
2022-12-31,0.9,$-1.71,0.0
2022-09-30,2.26,$-2.17,0.0
2022-06-30,2.52,$-2.24,0.0
2022-03-31,2.94,$9.02,0.33
2021-12-31,5.01,$-2.34,0.0
