AGNC Investment Price to Free Cash Flow Ratio Historical Data,AGNC Investment Price to Free Cash Flow Ratio Historical Data,AGNC Investment Price to Free Cash Flow Ratio Historical Data,AGNC Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.29,,94.06
2024-12-31,9.21,$0.11,84.19
2024-09-30,10.2,$-0.04,0.0
2024-06-30,8.98,$-0.13,0.0
2024-03-31,8.98,$-0.21,0.0
2023-12-31,8.57,$-0.19,0.0
2023-09-30,7.9,$0.01,0.0
2023-06-30,8.18,$0.51,16.01
2023-03-31,7.84,$1.22,6.41
2022-12-31,7.79,$1.89,4.13
2022-09-30,6.1,$2.44,2.5
2022-06-30,7.76,$2.76,2.81
2022-03-31,8.9,$2.82,3.16
2021-12-31,9.95,$2.91,3.42
2021-09-30,10.2,$2.96,3.45
2021-06-30,10.68,$3.25,3.29
2021-03-31,10.39,$3.33,3.12
2020-12-31,9.46,$3.17,2.99
2020-09-30,8.23,$3.11,2.64
2020-06-30,7.44,$2.51,2.96
2020-03-31,5.94,$2.20,2.7
2019-12-31,9.61,$2.18,4.41
2019-09-30,8.51,$2.18,3.9
2019-06-30,8.63,$2.56,3.37
2019-03-31,8.97,$2.40,3.74
2018-12-31,8.48,$2.52,3.36
2018-09-30,8.83,$2.77,3.19
2018-06-30,8.57,$2.56,3.34
2018-03-31,8.48,$3.07,2.76
2017-12-31,8.79,$3.51,2.5
2017-09-30,9.19,$3.53,2.61
2017-06-30,8.8,$3.95,2.23
2017-03-31,8.01,$4.17,1.92
2016-12-31,7.11,$4.07,1.74
2016-09-30,7.44,$4.13,1.8
2016-06-30,7.34,$3.70,1.98
2016-03-31,6.68,$3.99,1.68
2015-12-31,6.01,$4.10,1.47
2015-09-30,6.27,$4.00,1.57
2015-06-30,5.97,$4.42,1.35
2015-03-31,6.72,$4.41,1.53
2014-12-31,6.67,$4.59,1.45
2014-09-30,6.31,$6.47,0.98
2014-06-30,6.75,$6.69,1.01
2014-03-31,6.02,$6.52,0.92
2013-12-31,5.25,$6.60,0.8
2013-09-30,5.94,$6.38,0.93
2013-06-30,5.85,$6.58,0.89
2013-03-31,7.96,$7.13,1.12
2012-12-31,6.75,$7.64,0.88
2012-09-30,7.76,$8.33,0.93
2012-06-30,7.28,$7.81,0.93
2012-03-31,6.16,$7.52,0.82
2011-12-31,5.62,$6.98,0.81
2011-09-30,5.17,$6.14,0.84
2011-06-30,5.28,$6.63,0.8
2011-03-31,5.04,$6.35,0.79
2010-12-31,4.74,$6.38,0.74
2010-09-30,4.18,$5.82,0.72
2010-06-30,3.96,$5.75,0.69
2010-03-31,3.65,$6.07,0.6
2009-12-31,3.59,$5.33,0.67
