Radcom Price to Free Cash Flow Ratio Historical Data,Radcom Price to Free Cash Flow Ratio Historical Data,Radcom Price to Free Cash Flow Ratio Historical Data,Radcom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.34,,42.19
2024-09-30,10.34,$0.29,35.35
2024-06-30,9.35,$0.29,31.97
2024-03-31,11.16,$0.29,38.15
2023-12-31,8.06,$0.29,27.56
2023-09-30,8.69,$0.40,21.5
2023-06-30,9.46,$0.40,23.41
2023-03-31,10.08,$0.40,24.94
2022-12-31,10.94,$0.40,27.07
2022-09-30,11.39,$0.11,102.8
2022-06-30,11.5,$0.11,103.79
2022-03-31,12.98,$0.11,117.15
2021-12-31,13.05,$0.11,117.78
2021-09-30,11.4,$-0.03,0.0
2021-06-30,11.2,$-0.03,0.0
2021-03-31,9.88,$-0.03,0.0
2020-12-31,10.95,$-0.03,0.0
2020-09-30,9.46,$0.45,21.23
2020-06-30,8.14,$0.73,11.14
2020-03-31,6.08,$0.45,13.64
2019-12-31,8.52,$0.45,19.12
2019-09-30,9.16,$-0.19,0.0
2019-06-30,8.23,$-1.00,0.0
2019-03-31,7.42,$-0.19,0.0
2018-12-31,7.42,$-0.19,0.0
2018-09-30,11.25,$-0.92,0.0
2018-06-30,19.75,$0.23,87.23
2018-03-31,18.35,$-0.92,0.0
2017-12-31,19.85,$-0.92,0.0
2017-09-30,21.05,$0.75,27.94
2017-06-30,19.35,$0.13,151.29
2017-03-31,21.5,$0.75,28.54
2016-12-31,17.8,$0.75,23.63
2016-09-30,20.42,$0.21,99.03
2016-06-30,11.65,$-0.11,0.0
2016-03-31,13.69,$0.21,66.39
2015-12-31,14.93,$0.21,72.41
2015-09-30,11.1,$0.37,29.72
2015-06-30,10.53,$0.52,20.28
2015-03-31,10.17,$0.37,27.23
2014-12-31,12.13,$0.37,32.48
2014-09-30,5.9,$-0.27,0.0
2014-06-30,5.25,$-0.09,0.0
2014-03-31,6.69,$-0.27,0.0
2013-12-31,5.3,$-0.27,0.0
2013-09-30,5.27,$-0.39,0.0
2013-06-30,3.25,$-0.39,0.0
2013-03-31,3.13,$-0.39,0.0
2012-12-31,2.46,$-0.39,0.0
2012-09-30,3.24,$-0.51,0.0
2012-06-30,4.28,$-0.51,0.0
2012-03-31,5.2,$-0.51,0.0
2011-12-31,4.05,$-0.51,0.0
2011-09-30,3.72,$-0.39,0.0
2011-06-30,5.14,$-0.38,0.0
2011-03-31,9.92,$-0.39,0.0
2010-12-31,11.15,$-0.39,0.0
2010-09-30,9.17,$0.16,55.6
2010-06-30,5.0,$0.16,31.71
2010-03-31,2.89,$0.16,17.53
2009-12-31,1.69,$0.16,10.25
