Aeries Technology Price to Free Cash Flow Ratio Historical Data,Aeries Technology Price to Free Cash Flow Ratio Historical Data,Aeries Technology Price to Free Cash Flow Ratio Historical Data,Aeries Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.66,,0.0
2024-12-31,0.93,$-0.38,0.0
2024-09-30,2.3,$-0.39,0.0
2024-06-30,1.89,$-0.43,0.0
2024-03-31,2.57,$-0.37,0.0
2023-12-31,2.5,$-0.32,0.0
2023-09-30,10.58,$-0.18,0.0
2023-06-30,10.41,$-0.19,0.0
2023-03-31,10.35,$-0.25,0.0
2022-12-31,10.2,$-0.04,0.0
2022-09-30,10.0,$-0.11,0.0
