Fluor Price to Free Cash Flow Ratio Historical Data,Fluor Price to Free Cash Flow Ratio Historical Data,Fluor Price to Free Cash Flow Ratio Historical Data,Fluor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.67,,9.87
2024-12-31,49.32,$3.82,12.92
2024-09-30,47.71,$3.94,12.1
2024-06-30,43.55,$2.02,21.52
2024-03-31,42.28,$1.15,36.84
2023-12-31,39.17,$0.69,56.54
2023-09-30,36.7,$-1.27,0.0
2023-06-30,29.6,$-0.22,0.0
2023-03-31,30.91,$-0.07,0.0
2022-12-31,34.66,$-0.30,0.0
2022-09-30,24.89,$0.53,47.06
2022-06-30,24.34,$-0.15,0.0
2022-03-31,28.69,$0.08,365.94
2021-12-31,24.77,$-0.35,0.0
2021-09-30,15.97,$-0.98,0.0
2021-06-30,17.7,$-0.81,0.0
2021-03-31,23.09,$-0.70,0.0
2020-12-31,15.97,$0.52,30.85
2020-09-30,8.81,$0.84,10.47
2020-06-30,12.08,$0.55,21.99
2020-03-31,6.91,$0.09,74.62
2019-12-31,18.68,$0.27,68.52
2019-09-30,18.81,$0.81,23.26
2019-06-30,32.74,$1.60,20.5
2019-03-31,35.5,$1.15,30.8
2018-12-31,30.89,$0.23,135.47
2018-09-30,55.45,$-0.53,0.0
2018-06-30,46.39,$-0.74,0.0
2018-03-31,54.18,$0.08,668.04
2017-12-31,48.72,$2.95,16.54
2017-09-30,39.55,$4.21,9.38
2017-06-30,42.77,$6.00,7.13
2017-03-31,48.93,$4.81,10.18
2016-12-31,48.66,$3.91,12.44
2016-09-30,47.36,$4.67,10.13
2016-06-30,45.29,$4.66,9.72
2016-03-31,49.16,$6.04,8.14
2015-12-31,43.03,$5.35,8.04
2015-09-30,38.43,$4.19,9.17
2015-06-30,47.88,$1.49,32.24
2015-03-31,51.43,$1.73,29.69
2014-12-31,54.36,$2.65,20.48
2014-09-30,59.68,$1.68,35.53
2014-06-30,68.52,$4.62,14.82
2014-03-31,69.07,$4.77,14.48
2013-12-31,71.15,$3.50,20.36
2013-09-30,62.75,$3.80,16.5
2013-06-30,52.32,$3.50,14.95
2013-03-31,58.37,$2.67,21.85
2012-12-31,51.55,$2.68,19.24
2012-09-30,49.25,$2.72,18.1
2012-06-30,42.91,$1.77,24.23
2012-03-31,52.04,$1.26,41.29
2011-12-31,43.44,$3.47,12.53
2011-09-30,40.15,$4.71,8.52
2011-06-30,55.65,$5.49,10.14
2011-03-31,63.28,$5.28,11.99
2010-12-31,56.82,$1.87,30.32
2010-09-30,42.39,$1.95,21.69
2010-06-30,36.27,$0.52,69.61
2010-03-31,39.59,$2.17,18.27
2009-12-31,38.22,$3.92,9.74
