United Fire Price to Free Cash Flow Ratio Historical Data,United Fire Price to Free Cash Flow Ratio Historical Data,United Fire Price to Free Cash Flow Ratio Historical Data,United Fire Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.04,,2.29
2024-12-31,28.45,$12.67,2.25
2024-09-30,20.82,$7.59,2.74
2024-06-30,21.21,$9.90,2.14
2024-03-31,21.34,$8.04,2.65
2023-12-31,19.58,$6.37,3.07
2023-09-30,19.07,$6.69,2.85
2023-06-30,21.71,$1.75,12.43
2023-03-31,25.25,$-0.47,0.0
2022-12-31,25.86,$-0.13,0.0
2022-09-30,27.01,$-0.95,0.0
2022-06-30,32.01,$-1.06,0.0
2022-03-31,28.91,$-0.03,0.0
2021-12-31,21.46,$0.62,34.36
2021-09-30,21.24,$2.32,9.14
2021-06-30,25.35,$2.29,11.05
2021-03-31,31.65,$1.90,16.63
2020-12-31,22.72,$0.90,25.19
2020-09-30,18.28,$0.18,101.99
2020-06-30,24.58,$1.52,16.16
2020-03-31,28.6,$2.11,13.57
2019-12-31,38.03,$2.44,15.59
2019-09-30,40.55,$2.36,17.18
2019-06-30,41.52,$1.56,26.6
2019-03-31,37.19,$2.16,17.19
2018-12-31,46.88,$3.01,15.59
2018-09-30,42.92,$3.54,12.11
2018-06-30,43.54,$3.79,11.48
2018-03-31,38.01,$5.29,7.18
2017-12-31,35.98,$5.96,6.03
2017-09-30,35.96,$7.63,4.71
2017-06-30,34.35,$9.36,3.67
2017-03-31,33.12,$8.27,4.01
2016-12-31,37.86,$8.16,4.64
2016-09-30,32.41,$7.39,4.38
2016-06-30,32.3,$6.72,4.81
2016-03-31,33.16,$8.03,4.13
2015-12-31,28.84,$7.14,4.04
2015-09-30,26.24,$6.88,3.81
2015-06-30,24.36,$7.08,3.44
2015-03-31,23.46,$5.48,4.28
2014-12-31,21.8,$5.61,3.88
2014-09-30,20.22,$4.77,4.24
2014-06-30,21.21,$5.33,3.98
2014-03-31,21.79,$5.37,4.06
2013-12-31,20.45,$5.99,3.41
2013-09-30,21.61,$6.21,3.48
2013-06-30,17.5,$6.39,2.74
2013-03-31,17.84,$6.50,2.74
2012-12-31,15.2,$6.63,2.29
2012-09-30,17.39,$5.32,3.27
2012-06-30,14.65,$3.54,4.14
2012-03-31,12.2,$2.50,4.87
2011-12-31,13.66,$2.33,5.87
2011-09-30,11.88,$2.40,4.96
2011-06-30,11.57,$2.71,4.27
2011-03-31,13.36,$2.71,4.92
2010-12-31,14.64,$2.62,5.58
2010-09-30,13.82,$3.81,3.63
2010-06-30,12.82,$3.78,3.39
2010-03-31,11.56,$4.25,2.72
2009-12-31,11.61,$3.38,3.44
