FB Financial Price to Free Cash Flow Ratio Historical Data,FB Financial Price to Free Cash Flow Ratio Historical Data,FB Financial Price to Free Cash Flow Ratio Historical Data,FB Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.98,,16.34
2024-12-31,51.51,$2.87,17.92
2024-09-30,46.77,$3.90,12.0
2024-06-30,38.74,$3.45,11.22
2024-03-31,37.22,$2.96,12.59
2023-12-31,39.2,$4.12,9.53
2023-09-30,27.77,$3.60,7.71
2023-06-30,27.35,$7.60,3.6
2023-03-31,30.12,$12.60,2.39
2022-12-31,34.89,$16.72,2.09
2022-09-30,36.77,$17.69,2.08
2022-06-30,37.63,$13.75,2.74
2022-03-31,42.48,$10.68,3.98
2021-12-31,41.78,$1.02,41.07
2021-09-30,40.79,$-4.66,0.0
2021-06-30,35.41,$-4.16,0.0
2021-03-31,42.07,$-7.64,0.0
2020-12-31,32.77,$-7.26,0.0
2020-09-30,23.63,$-1.10,0.0
2020-06-30,23.22,$-2.39,0.0
2020-03-31,18.41,$-2.41,0.0
2019-12-31,36.88,$1.86,19.84
2019-09-30,34.9,$1.63,21.36
2019-06-30,33.95,$3.74,9.07
2019-03-31,29.4,$6.01,4.89
2018-12-31,32.33,$6.49,4.98
2018-09-30,36.1,$4.09,8.83
2018-06-30,37.46,$0.96,39.07
2018-03-31,37.29,$-3.32,0.0
2017-12-31,38.57,$1.17,32.87
2017-09-30,34.65,$0.91,38.1
2017-06-30,33.25,$-10.42,0.0
