ATRenew Price to Free Cash Flow Ratio Historical Data,ATRenew Price to Free Cash Flow Ratio Historical Data,ATRenew Price to Free Cash Flow Ratio Historical Data,ATRenew Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.17,,34.2
2024-09-30,2.78,$0.09,29.99
2024-06-30,2.37,$0.09,25.57
2024-03-31,1.76,$0.09,18.99
2023-12-31,1.92,$0.09,20.71
2023-09-30,2.28,$0.49,4.65
2023-06-30,2.92,$0.49,5.96
2023-03-31,3.05,$0.49,6.22
2022-12-31,2.89,$0.49,5.9
2022-09-30,2.3,$-1.18,0.0
2022-06-30,2.99,$-1.18,0.0
2022-03-31,3.54,$-1.18,0.0
