NACCO Industries Price to Free Cash Flow Ratio Historical Data,NACCO Industries Price to Free Cash Flow Ratio Historical Data,NACCO Industries Price to Free Cash Flow Ratio Historical Data,NACCO Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.0,,0.0
2024-12-31,29.82,$-4.26,0.0
2024-09-30,28.15,$-6.63,0.0
2024-06-30,27.25,$-3.76,0.0
2024-03-31,29.74,$-1.75,0.0
2023-12-31,35.71,$1.29,27.69
2023-09-30,34.1,$5.04,6.76
2023-06-30,33.47,$2.55,13.11
2023-03-31,34.6,$4.39,7.89
2022-12-31,36.25,$3.80,9.53
2022-09-30,44.66,$2.53,17.68
2022-06-30,35.82,$5.61,6.38
2022-03-31,36.93,$5.00,7.39
2021-12-31,33.96,$4.96,6.85
2021-09-30,27.74,$2.37,11.69
2021-06-30,24.02,$0.83,29.1
2021-03-31,22.84,$-0.17,0.0
2020-12-31,23.87,$-4.55,0.0
2020-09-30,16.41,$-3.18,0.0
2020-06-30,20.8,$-1.17,0.0
2020-03-31,24.81,$0.17,148.92
2019-12-31,41.34,$4.67,8.86
2019-09-30,56.2,$7.01,8.01
2019-06-30,45.5,$5.95,7.64
2019-03-31,33.36,$5.87,5.68
2018-12-31,29.45,$5.05,5.83
2018-09-30,28.45,$4.91,5.8
2018-06-30,29.19,$6.55,4.45
2018-03-31,28.29,$9.35,3.03
2017-12-31,32.29,$4.27,7.56
2017-09-30,32.38,$9.97,3.25
2017-06-30,26.64,$10.97,2.43
2017-03-31,26.14,$8.04,3.25
2016-12-31,33.77,$13.43,2.51
2016-09-30,25.28,$14.11,1.79
2016-06-30,20.74,$10.46,1.98
2016-03-31,21.16,$9.51,2.22
2015-12-31,15.47,$15.57,0.99
2015-09-30,17.33,$9.79,1.77
2015-06-30,22.04,$10.76,2.05
2015-03-31,19.13,$8.19,2.34
2014-12-31,21.34,$-4.05,0.0
2014-09-30,17.8,$-4.02,0.0
2014-06-30,18.02,$-6.35,0.0
2014-03-31,19.22,$-3.74,0.0
2013-12-31,21.95,$-0.23,0.0
2013-09-30,19.48,$4.88,3.99
2013-06-30,20.05,$9.10,2.2
2013-03-31,18.6,$9.80,1.9
2012-12-31,21.06,$15.96,1.32
2012-09-30,13.72,$20.94,0.65
2012-06-30,12.65,$16.54,0.76
2012-03-31,12.6,$20.52,0.61
2011-12-31,9.61,$16.44,0.58
2011-09-30,6.78,$11.55,0.59
2011-06-30,10.28,$8.82,1.17
2011-03-31,11.69,$8.68,1.35
2010-12-31,11.4,$8.04,1.42
2010-09-30,9.14,$10.24,0.89
2010-06-30,9.22,$16.71,0.55
2010-03-31,7.66,$17.97,0.43
2009-12-31,5.09,$17.36,0.29
