Funko Price to Free Cash Flow Ratio Historical Data,Funko Price to Free Cash Flow Ratio Historical Data,Funko Price to Free Cash Flow Ratio Historical Data,Funko Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.24,,4.15
2024-12-31,13.39,$1.74,7.68
2024-09-30,12.22,$1.42,8.63
2024-06-30,9.76,$1.54,6.33
2024-03-31,6.24,$1.03,6.07
2023-12-31,7.73,$-0.09,0.0
2023-09-30,7.65,$-0.68,0.0
2023-06-30,10.82,$-1.77,0.0
2023-03-31,9.43,$-2.15,0.0
2022-12-31,10.91,$-2.23,0.0
2022-09-30,20.22,$-2.25,0.0
2022-06-30,22.32,$-1.23,0.0
2022-03-31,17.25,$-0.41,0.0
2021-12-31,18.8,$1.47,12.81
2021-09-30,18.21,$2.72,6.69
2021-06-30,21.28,$3.45,6.17
2021-03-31,19.68,$2.50,7.89
2020-12-31,10.38,$2.52,4.11
2020-09-30,5.79,$1.71,3.39
2020-06-30,5.8,$0.93,6.23
2020-03-31,3.99,$1.56,2.56
2019-12-31,17.16,$1.47,11.65
2019-09-30,20.58,$1.92,10.7
2019-06-30,24.22,$1.71,14.18
2019-03-31,21.72,$1.67,13.04
2018-12-31,13.15,$0.90,14.54
2018-09-30,23.69,$0.02,1155.61
