Globalink Investment Price to Free Cash Flow Ratio Historical Data,Globalink Investment Price to Free Cash Flow Ratio Historical Data,Globalink Investment Price to Free Cash Flow Ratio Historical Data,Globalink Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-24,0.0,,0.0
2024-09-30,11.34,$-0.58,0.0
2024-06-30,11.35,$-0.56,0.0
2024-03-31,10.93,$-0.64,0.0
2023-12-31,10.84,$-0.41,0.0
2023-09-30,10.78,$-0.41,0.0
2023-06-30,10.58,$-0.43,0.0
2023-03-31,10.4,$-0.18,0.0
2022-12-31,10.2,$-0.21,0.0
2022-09-30,9.96,$-0.14,0.0
