Aqua Metals Price to Free Cash Flow Ratio Historical Data,Aqua Metals Price to Free Cash Flow Ratio Historical Data,Aqua Metals Price to Free Cash Flow Ratio Historical Data,Aqua Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.05,,0.0
2024-09-30,3.74,$-3.90,0.0
2024-06-30,6.4,$-4.20,0.0
2024-03-31,10.76,$-1.15,0.0
2023-12-31,15.2,$-1.86,0.0
2023-09-30,22.6,$-1.77,0.0
2023-06-30,23.4,$-1.93,0.0
2023-03-31,20.0,$-4.75,0.0
2022-12-31,25.0,$-3.47,0.0
2022-09-30,15.1,$-3.59,0.0
2022-06-30,16.19,$-2.42,0.0
2022-03-31,30.2,$-2.53,0.0
2021-12-31,24.6,$-2.61,0.0
2021-09-30,41.4,$-2.27,0.0
2021-06-30,60.0,$-2.89,0.0
2021-03-31,81.0,$-3.51,0.0
2020-12-31,60.0,$-4.68,0.0
2020-09-30,18.22,$-9.04,0.0
2020-06-30,28.0,$-12.12,0.0
2020-03-31,9.0,$-12.85,0.0
2019-12-31,15.11,$-14.53,0.0
2019-09-30,34.0,$-15.37,0.0
2019-06-30,33.4,$-13.82,0.0
2019-03-31,61.4,$-15.96,0.0
2018-12-31,36.4,$-17.57,0.0
2018-09-30,51.6,$-19.91,0.0
2018-06-30,57.6,$-22.83,0.0
2018-03-31,51.8,$-26.44,0.0
2017-12-31,42.6,$-28.02,0.0
2017-09-30,137.0,$-38.16,0.0
2017-06-30,251.0,$-44.67,0.0
2017-03-31,390.8,$-51.38,0.0
2016-12-31,262.2,$-53.03,0.0
2016-09-30,177.2,$-57.79,0.0
2016-06-30,235.3,$-54.77,0.0
