HarborOne Bancorp Price to Free Cash Flow Ratio Historical Data,HarborOne Bancorp Price to Free Cash Flow Ratio Historical Data,HarborOne Bancorp Price to Free Cash Flow Ratio Historical Data,HarborOne Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.75,,171.45
2024-12-31,11.83,$0.06,188.68
2024-09-30,12.98,$-0.42,0.0
2024-06-30,11.13,$-0.38,0.0
2024-03-31,10.66,$1.28,8.33
2023-12-31,11.98,$1.13,10.61
2023-09-30,9.52,$1.83,5.2
2023-06-30,8.68,$1.89,4.6
2023-03-31,12.2,$1.32,9.25
2022-12-31,13.9,$1.41,9.83
2022-09-30,13.42,$2.15,6.25
2022-06-30,13.72,$2.42,5.68
2022-03-31,13.88,$4.36,3.18
2021-12-31,14.64,$4.23,3.46
2021-09-30,13.8,$3.12,4.43
2021-06-30,14.05,$2.08,6.75
2021-03-31,13.15,$-0.44,0.0
2020-12-31,10.6,$-0.60,0.0
2020-09-30,7.83,$-0.33,0.0
2020-06-30,8.25,$-0.25,0.0
2020-03-31,7.28,$-1.05,0.0
2019-12-31,10.62,$-0.73,0.0
2019-09-30,9.73,$-0.51,0.0
2019-06-30,10.08,$0.14,70.32
2019-03-31,9.26,$0.81,11.41
2018-12-31,8.55,$0.98,8.72
2018-09-30,10.29,$1.29,8.0
2018-06-30,10.2,$0.74,13.81
2018-03-31,9.51,$0.69,13.77
2017-12-31,10.31,$0.73,14.21
2017-09-30,10.13,$0.75,13.52
2017-06-30,10.75,$-0.10,0.0
2017-03-31,10.22,$0.53,19.13
