Flotek Industries Price to Free Cash Flow Ratio Historical Data,Flotek Industries Price to Free Cash Flow Ratio Historical Data,Flotek Industries Price to Free Cash Flow Ratio Historical Data,Flotek Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.1,,182.0
2024-12-31,9.53,$0.05,190.6
2024-09-30,4.98,$0.06,80.71
2024-06-30,4.91,$-0.32,0.0
2024-03-31,3.74,$-0.35,0.0
2023-12-31,3.92,$-0.43,0.0
2023-09-30,4.43,$-0.05,0.0
2023-06-30,4.4,$-2.31,0.0
2023-03-31,4.14,$-2.45,0.0
2022-12-31,6.72,$-3.17,0.0
2022-09-30,6.0,$-3.98,0.0
2022-06-30,5.95,$-2.09,0.0
2022-03-31,7.56,$-2.33,0.0
2021-12-31,6.78,$-2.10,0.0
2021-09-30,7.56,$-2.37,0.0
2021-06-30,10.38,$-2.63,0.0
2021-03-31,10.08,$-2.39,0.0
2020-12-31,12.66,$-4.32,0.0
2020-09-30,16.26,$-4.08,0.0
2020-06-30,7.2,$-2.62,0.0
2020-03-31,5.34,$-0.46,0.0
2019-12-31,12.0,$-0.69,0.0
2019-09-30,13.2,$0.43,30.72
2019-06-30,19.86,$-0.79,0.0
2019-03-31,19.44,$-3.57,0.0
2018-12-31,6.54,$-2.38,0.0
2018-09-30,14.4,$-1.51,0.0
2018-06-30,19.38,$-0.19,0.0
2018-03-31,36.6,$-0.05,0.0
2017-12-31,27.96,$0.92,30.37
2017-09-30,27.9,$-0.54,0.0
2017-06-30,53.64,$-1.19,0.0
2017-03-31,76.74,$-0.59,0.0
2016-12-31,56.34,$-1.26,0.0
2016-09-30,87.24,$-1.24,0.0
2016-06-30,79.2,$-0.77,0.0
2016-03-31,43.98,$-0.34,0.0
2015-12-31,68.64,$0.99,69.19
2015-09-30,100.2,$1.43,69.9
2015-06-30,75.18,$2.90,25.94
2015-03-31,88.44,$2.50,35.43
2014-12-31,112.38,$3.60,31.18
2014-09-30,156.42,$4.81,32.49
2014-06-30,192.96,$3.95,48.85
2014-03-31,167.1,$4.08,40.95
2013-12-31,120.42,$3.34,36.01
2013-09-30,138.0,$2.60,53.18
2013-06-30,107.64,$2.76,39.01
2013-03-31,98.1,$4.10,23.95
2012-12-31,73.2,$3.85,19.03
2012-09-30,76.02,$5.82,13.06
2012-06-30,56.04,$5.78,9.69
2012-03-31,72.12,$4.24,17.0
2011-12-31,59.76,$3.49,17.12
2011-09-30,28.02,$2.99,9.37
2011-06-30,51.12,$3.38,15.11
2011-03-31,50.46,$4.04,12.5
2010-12-31,32.7,$2.68,12.2
2010-09-30,8.28,$0.34,24.57
2010-06-30,7.26,$-1.83,0.0
2010-03-31,7.62,$-2.15,0.0
2009-12-31,8.04,$-0.46,0.0
