Mammoth Energy Services Price to Free Cash Flow Ratio Historical Data,Mammoth Energy Services Price to Free Cash Flow Ratio Historical Data,Mammoth Energy Services Price to Free Cash Flow Ratio Historical Data,Mammoth Energy Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.13,,0.6
2024-12-31,3.0,$3.54,0.85
2024-09-30,4.09,$0.81,5.07
2024-06-30,3.28,$0.67,4.86
2024-03-31,3.64,$1.42,2.56
2023-12-31,4.46,$0.40,11.03
2023-09-30,4.64,$0.71,6.57
2023-06-30,4.83,$0.70,6.92
2023-03-31,4.22,$0.28,15.01
2022-12-31,8.65,$0.28,31.05
2022-09-30,3.41,$-0.20,0.0
2022-06-30,2.2,$-0.39,0.0
2022-03-31,2.13,$-0.66,0.0
2021-12-31,1.82,$-0.29,0.0
2021-09-30,2.91,$-0.09,0.0
2021-06-30,4.59,$0.20,22.68
2021-03-31,5.32,$0.45,11.7
2020-12-31,4.45,$0.15,29.39
2020-09-30,1.6,$-0.06,0.0
2020-06-30,1.18,$0.15,7.99
2020-03-31,0.75,$-0.13,0.0
2019-12-31,2.2,$-2.84,0.0
2019-09-30,2.48,$-1.39,0.0
2019-06-30,6.88,$-1.15,0.0
2019-03-31,16.51,$0.19,86.98
2018-12-31,17.73,$4.36,4.07
2018-09-30,28.56,$2.54,11.26
2018-06-30,33.22,$1.88,17.67
2018-03-31,31.36,$0.09,337.24
2017-12-31,19.2,$-1.81,0.0
2017-09-30,16.49,$-0.67,0.0
