Orion S.A Price to Free Cash Flow Ratio Historical Data,Orion S.A Price to Free Cash Flow Ratio Historical Data,Orion S.A Price to Free Cash Flow Ratio Historical Data,Orion S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.83,,0.0
2024-12-31,15.79,$-1.39,0.0
2024-09-30,17.79,$-1.65,0.0
2024-06-30,21.89,$0.14,155.05
2024-03-31,23.45,$1.59,14.71
2023-12-31,27.62,$2.89,9.57
2023-09-30,21.18,$3.28,6.47
2023-06-30,21.1,$2.45,8.62
2023-03-31,25.92,$0.06,417.4
2022-12-31,17.68,$-2.47,0.0
2022-09-30,13.24,$-4.27,0.0
2022-06-30,15.38,$-4.20,0.0
2022-03-31,15.79,$-1.98,0.0
2021-12-31,18.11,$-1.14,0.0
2021-09-30,17.98,$0.26,68.48
2021-06-30,18.73,$0.10,183.3
2021-03-31,19.45,$0.01,1691.58
2020-12-31,16.91,$-0.32,0.0
2020-09-30,12.34,$0.01,0.0
2020-06-30,10.45,$1.04,10.07
2020-03-31,7.36,$0.06,127.76
2019-12-31,18.7,$1.23,15.15
2019-09-30,16.03,$1.15,13.92
2019-06-30,20.3,$0.65,31.07
2019-03-31,17.82,$1.66,10.75
2018-12-31,23.51,$1.15,20.36
2018-09-30,29.6,$0.84,35.07
2018-06-30,28.28,$1.16,24.41
2018-03-31,24.69,$0.87,28.44
2017-12-31,23.16,$0.95,24.45
2017-09-30,20.14,$1.50,13.44
2017-06-30,17.9,$1.76,10.15
2017-03-31,18.2,$1.80,10.09
2016-12-31,16.73,$2.48,6.74
2016-09-30,16.63,$2.82,5.89
2016-06-30,14.11,$2.58,5.48
2016-03-31,12.53,$2.30,5.46
2015-12-31,11.18,$3.03,3.69
2015-09-30,12.64,$4.26,2.97
2015-06-30,15.95,$5.54,2.88
