TFF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,TFF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,TFF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,TFF Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-12,0.07,,0.0
2024-09-30,2.01,$-4.66,0.0
2024-06-30,1.66,$-4.62,0.0
2024-03-31,6.04,$-7.30,0.0
2023-12-31,7.02,$-9.00,0.0
2023-09-30,8.75,$-9.67,0.0
2023-06-30,11.75,$-17.51,0.0
2023-03-31,17.13,$-19.83,0.0
2022-12-31,26.25,$-24.09,0.0
2022-09-30,101.5,$-32.19,0.0
2022-06-30,141.25,$-31.44,0.0
2022-03-31,157.75,$-31.37,0.0
2021-12-31,221.75,$-30.64,0.0
2021-09-30,193.0,$-28.03,0.0
2021-06-30,240.25,$-25.56,0.0
2021-03-31,339.25,$-25.15,0.0
2020-12-31,358.0,$-21.69,0.0
2020-09-30,461.75,$-53.40,0.0
