DouYu Holdings Price to Free Cash Flow Ratio Historical Data,DouYu Holdings Price to Free Cash Flow Ratio Historical Data,DouYu Holdings Price to Free Cash Flow Ratio Historical Data,DouYu Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.97,,0.0
2024-09-30,10.83,$-0.23,0.0
2024-06-30,5.39,$-0.23,0.0
2024-03-31,3.23,$-0.23,0.0
2023-12-31,4.66,$-0.23,0.0
2023-09-30,4.77,$-0.33,0.0
2023-06-30,5.15,$-0.33,0.0
2023-03-31,5.83,$-0.33,0.0
2022-12-31,6.86,$-0.33,0.0
2022-09-30,4.9,$-2.86,0.0
2022-06-30,5.88,$-2.86,0.0
2022-03-31,10.19,$-2.86,0.0
2021-12-31,12.94,$-2.86,0.0
2021-09-30,16.12,$3.01,5.36
2021-06-30,33.52,$3.01,11.13
2021-03-31,51.02,$3.01,16.95
2020-12-31,54.2,$3.01,18.0
2020-09-30,64.74,$3.63,17.86
2020-06-30,56.55,$3.63,15.6
