HomeStreet Price to Free Cash Flow Ratio Historical Data,HomeStreet Price to Free Cash Flow Ratio Historical Data,HomeStreet Price to Free Cash Flow Ratio Historical Data,HomeStreet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.96,,0.0
2024-12-31,11.42,$-2.46,0.0
2024-09-30,15.76,$-2.39,0.0
2024-06-30,11.4,$0.08,149.8
2024-03-31,15.05,$2.28,6.6
2023-12-31,10.3,$0.22,45.92
2023-09-30,7.66,$0.01,0.0
2023-06-30,5.77,$1.75,3.29
2023-03-31,17.24,$2.13,8.1
2022-12-31,26.11,$11.11,2.35
2022-09-30,26.91,$10.20,2.64
2022-06-30,32.07,$13.09,2.45
2022-03-31,43.44,$14.36,3.03
2021-12-31,47.36,$8.04,5.89
2021-09-30,37.29,$9.37,3.98
2021-06-30,36.68,$7.60,4.82
2021-03-31,39.45,$-0.68,0.0
2020-12-31,30.03,$-1.19,0.0
2020-09-30,22.81,$0.77,29.49
2020-06-30,21.68,$7.80,2.78
2020-03-31,19.46,$9.80,1.99
2019-12-31,29.63,$9.96,2.98
2019-09-30,23.81,$9.38,2.54
2019-06-30,25.83,$5.02,5.15
2019-03-31,22.96,$5.91,3.89
2018-12-31,18.5,$10.20,1.81
2018-09-30,23.09,$14.97,1.54
2018-06-30,23.48,$6.83,3.44
2018-03-31,24.96,$3.50,7.14
2017-12-31,25.23,$4.32,5.84
2017-09-30,23.53,$2.68,8.77
2017-06-30,24.11,$0.63,38.26
2017-03-31,24.35,$4.06,6.0
2016-12-31,27.53,$-2.77,0.0
2016-09-30,21.84,$2.71,8.05
2016-06-30,17.36,$11.16,1.56
2016-03-31,18.13,$9.92,1.83
2015-12-31,18.92,$-0.58,0.0
2015-09-30,20.13,$-11.38,0.0
2015-06-30,19.88,$-24.63,0.0
2015-03-31,15.96,$-33.31,0.0
2014-12-31,15.17,$-24.63,0.0
2014-09-30,14.89,$-22.30,0.0
2014-06-30,16.01,$-4.99,0.0
2014-03-31,17.03,$3.84,4.44
2013-12-31,17.32,$19.00,0.91
2013-09-30,16.62,$10.87,1.53
2013-06-30,18.38,$-5.27,0.0
2013-03-31,19.04,$-5.12,0.0
2012-12-31,21.78,$-29.69,0.0
