Luminar Technologies Price to Free Cash Flow Ratio Historical Data,Luminar Technologies Price to Free Cash Flow Ratio Historical Data,Luminar Technologies Price to Free Cash Flow Ratio Historical Data,Luminar Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.28,,0.0
2024-09-30,13.5,$-8.82,0.0
2024-06-30,22.35,$-9.60,0.0
2024-03-31,29.55,$-10.19,0.0
2023-12-31,50.55,$-10.37,0.0
2023-09-30,68.25,$-11.60,0.0
2023-06-30,103.2,$-11.57,0.0
2023-03-31,97.35,$-11.07,0.0
2022-12-31,74.25,$-9.61,0.0
2022-09-30,109.28,$-8.71,0.0
2022-06-30,88.95,$-8.12,0.0
2022-03-31,234.45,$-7.03,0.0
2021-12-31,253.65,$-6.70,0.0
2021-09-30,234.0,$-6.53,0.0
2021-06-30,329.25,$-6.71,0.0
2021-03-31,364.65,$-7.20,0.0
2020-12-31,510.0,$-8.04,0.0
2020-09-30,171.3,$-14.99,0.0
2020-06-30,160.35,$-12.68,0.0
2020-03-31,152.4,$-10.59,0.0
2019-12-31,153.0,$-7.74,0.0
