Siga Technologies Price to Free Cash Flow Ratio Historical Data,Siga Technologies Price to Free Cash Flow Ratio Historical Data,Siga Technologies Price to Free Cash Flow Ratio Historical Data,Siga Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.64,,8.32
2024-12-31,6.01,$0.68,8.87
2024-09-30,6.75,$1.00,6.78
2024-06-30,7.59,$1.03,7.39
2024-03-31,8.56,$0.90,9.53
2023-12-31,5.22,$1.32,3.95
2023-09-30,4.9,$0.11,45.1
2023-06-30,4.71,$0.12,40.69
2023-03-31,4.98,$0.14,36.36
2022-12-31,6.37,$0.57,11.26
2022-09-30,8.92,$0.89,10.02
2022-06-30,10.03,$0.97,10.29
2022-03-31,5.78,$0.98,5.91
2021-12-31,6.14,$0.15,40.96
2021-09-30,6.03,$0.51,11.79
2021-06-30,5.12,$0.89,5.76
2021-03-31,5.3,$0.80,6.65
2020-12-31,5.93,$0.90,6.59
2020-09-30,5.61,$0.15,36.54
2020-06-30,4.82,$-0.24,0.0
2020-03-31,3.9,$-0.18,0.0
2019-12-31,3.89,$-0.22,0.0
2019-09-30,4.18,$-0.09,0.0
2019-06-30,4.63,$0.95,4.89
2019-03-31,4.9,$0.94,5.22
2018-12-31,6.45,$0.83,7.75
2018-09-30,5.62,$0.77,7.31
2018-06-30,4.85,$-0.37,0.0
2018-03-31,5.0,$-0.33,0.0
2017-12-31,1.67,$-0.23,0.0
2017-09-30,1.67,$-0.50,0.0
2017-06-30,1.67,$-1.44,0.0
2017-03-31,1.67,$-1.90,0.0
2016-12-31,1.67,$-2.04,0.0
2016-09-30,1.67,$-1.98,0.0
2016-06-30,1.67,$-0.70,0.0
2016-03-31,1.67,$0.16,10.45
2015-12-31,1.67,$0.20,8.17
2015-09-30,1.67,$0.43,3.91
2015-06-30,1.67,$0.37,4.57
2015-03-31,1.67,$-0.15,0.0
2014-12-31,1.17,$0.28,4.26
2014-09-30,1.18,$0.08,14.07
2014-06-30,2.3,$1.41,1.63
2014-03-31,2.53,$1.57,1.61
2013-12-31,2.67,$1.10,2.43
2013-09-30,3.12,$1.46,2.13
2013-06-30,2.32,$-0.29,0.0
2013-03-31,2.92,$-0.44,0.0
2012-12-31,2.14,$-0.40,0.0
2012-09-30,2.61,$0.21,12.66
2012-06-30,2.33,$0.38,6.15
2012-03-31,2.74,$0.43,6.43
2011-12-31,2.06,$0.47,4.39
2011-09-30,2.67,$-0.30,0.0
2011-06-30,7.95,$-0.29,0.0
2011-03-31,9.87,$-0.26,0.0
2010-12-31,11.42,$-0.25,0.0
2010-09-30,6.9,$-0.23,0.0
2010-06-30,6.28,$-0.24,0.0
2010-03-31,5.41,$-0.26,0.0
2009-12-31,4.73,$-0.24,0.0
