Brightcove Price to Free Cash Flow Ratio Historical Data,Brightcove Price to Free Cash Flow Ratio Historical Data,Brightcove Price to Free Cash Flow Ratio Historical Data,Brightcove Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,4.38,,19.96
2024-09-30,2.16,$0.22,9.85
2024-06-30,2.37,$0.14,17.41
2024-03-31,1.94,$0.27,7.26
2023-12-31,2.59,$-0.26,0.0
2023-09-30,3.29,$-0.30,0.0
2023-06-30,4.01,$-0.33,0.0
2023-03-31,4.45,$-0.26,0.0
2022-12-31,5.23,$0.02,251.44
2022-09-30,6.3,$0.08,76.92
2022-06-30,6.32,$0.28,22.85
2022-03-31,7.8,$0.17,45.24
2021-12-31,10.22,$0.25,40.22
2021-09-30,11.54,$0.49,23.79
2021-06-30,14.35,$0.40,36.12
2021-03-31,20.12,$0.28,73.06
2020-12-31,18.4,$0.32,57.7
2020-09-30,10.24,$0.03,339.07
2020-06-30,7.88,$0.06,127.51
2020-03-31,6.97,$-0.10,0.0
2019-12-31,8.69,$-0.12,0.0
2019-09-30,10.48,$-0.05,0.0
2019-06-30,10.33,$-0.16,0.0
2019-03-31,8.41,$-0.06,0.0
2018-12-31,7.04,$-0.06,0.0
2018-09-30,8.4,$0.01,0.0
2018-06-30,9.65,$-0.13,0.0
2018-03-31,6.95,$-0.10,0.0
2017-12-31,7.1,$-0.31,0.0
2017-09-30,7.2,$-0.35,0.0
2017-06-30,6.2,$-0.14,0.0
2017-03-31,8.9,$-0.09,0.0
2016-12-31,8.05,$0.18,45.4
2016-09-30,13.05,$0.27,47.78
2016-06-30,8.8,$0.33,26.37
2016-03-31,6.24,$0.25,24.61
2015-12-31,6.2,$0.19,32.41
2015-09-30,4.92,$0.08,58.29
2015-06-30,6.86,$0.04,188.98
2015-03-31,7.33,$0.07,109.9
2014-12-31,7.78,$-0.10,0.0
2014-09-30,5.58,$-0.12,0.0
2014-06-30,10.54,$-0.05,0.0
2014-03-31,9.83,$0.04,240.34
2013-12-31,14.14,$0.12,117.83
2013-09-30,11.25,$0.15,77.27
2013-06-30,8.76,$-0.02,0.0
2013-03-31,6.21,$0.00,0.0
2012-12-31,9.04,$-0.31,0.0
