Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data,Equity Residential Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.17,,54.31
2024-12-31,71.76,$1.29,55.54
2024-09-30,74.46,$0.91,81.59
2024-06-30,68.05,$3.96,17.17
2024-03-31,61.94,$3.32,18.67
2023-12-31,59.38,$3.03,19.62
2023-09-30,56.39,$2.53,22.27
2023-06-30,62.66,$3.96,15.83
2023-03-31,56.39,$5.10,11.06
2022-12-31,54.8,$4.44,12.35
2022-09-30,61.78,$4.40,14.06
2022-06-30,65.78,$2.78,23.66
2022-03-31,81.19,$2.16,37.63
2021-12-31,81.15,$2.31,35.12
2021-09-30,72.08,$3.02,23.9
2021-06-30,68.08,$3.21,21.19
2021-03-31,62.85,$4.00,15.73
2020-12-31,51.59,$5.04,10.24
2020-09-30,44.22,$4.45,9.94
2020-06-30,50.08,$4.09,12.24
2020-03-31,52.01,$3.22,16.15
2019-12-31,67.46,$1.61,41.79
2019-09-30,71.42,$1.50,47.52
2019-06-30,62.44,$1.66,37.57
2019-03-31,61.49,$1.34,46.02
2018-12-31,53.48,$2.59,20.68
2018-09-30,53.68,$2.62,20.47
2018-06-30,51.19,$2.03,25.24
2018-03-31,49.11,$2.55,19.29
2017-12-31,50.36,$1.84,27.39
2017-09-30,51.65,$2.52,20.51
2017-06-30,51.18,$3.36,15.24
2017-03-31,48.02,$3.07,15.63
2016-12-31,49.28,$18.56,2.66
2016-09-30,48.86,$17.17,2.85
2016-06-30,49.62,$17.06,2.91
2016-03-31,53.64,$17.14,3.13
2015-12-31,51.88,$1.81,28.62
2015-09-30,47.44,$2.83,16.74
2015-06-30,43.98,$2.87,15.34
2015-03-31,48.42,$2.43,19.91
2014-12-31,44.37,$1.73,25.58
2014-09-30,37.78,$1.21,31.22
2014-06-30,38.34,$3.01,12.74
2014-03-31,35.01,$4.57,7.66
2013-12-31,31.04,$13.53,2.29
2013-09-30,31.66,$14.54,2.18
2013-06-30,34.07,$12.75,2.67
2013-03-31,32.07,$11.27,2.85
2012-12-31,32.77,$2.84,11.52
2012-09-30,32.81,$-0.30,0.0
2012-06-30,35.36,$-0.32,0.0
2012-03-31,35.31,$1.73,20.39
2011-12-31,31.98,$1.99,16.06
2011-09-30,28.79,$5.70,5.05
2011-06-30,33.11,$4.15,7.98
2011-03-31,30.95,$1.73,17.93
2010-12-31,28.33,$-0.22,0.0
2010-09-30,25.7,$-1.81,0.0
2010-06-30,22.35,$0.57,39.14
2010-03-31,20.86,$1.75,11.95
2009-12-31,17.84,$3.38,5.27
