Byrna Technologies Price to Free Cash Flow Ratio Historical Data,Byrna Technologies Price to Free Cash Flow Ratio Historical Data,Byrna Technologies Price to Free Cash Flow Ratio Historical Data,Byrna Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.03,,46.88
2024-11-30,19.33,$0.41,47.62
2024-08-31,11.59,$0.45,25.78
2024-05-31,11.69,$0.47,24.89
2024-02-29,11.97,$0.47,25.74
2023-11-30,5.85,$0.14,42.89
2023-08-31,3.45,$-0.25,0.0
2023-05-31,4.67,$-0.27,0.0
2023-02-28,8.27,$-0.53,0.0
2022-11-30,8.66,$-0.76,0.0
2022-08-31,8.93,$-0.82,0.0
2022-05-31,8.06,$-0.78,0.0
2022-02-28,10.01,$-0.33,0.0
2021-11-30,14.72,$-0.32,0.0
2021-08-31,29.28,$-0.38,0.0
2021-05-31,24.0,$0.08,311.69
2021-02-28,14.4,$-0.22,0.0
2020-11-30,14.4,$0.09,164.2
