United Maritime Price to Free Cash Flow Ratio Historical Data,United Maritime Price to Free Cash Flow Ratio Historical Data,United Maritime Price to Free Cash Flow Ratio Historical Data,United Maritime Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.59,,0.66
2024-06-30,2.6,$2.41,1.08
2024-03-31,2.61,$-5.01,0.0
2023-12-31,2.47,$-5.79,0.0
2023-09-30,2.4,$-0.75,0.0
