"AGEAGLE AERIAL SYSTEMS, INC Price to Free Cash Flow Ratio Historical Data","AGEAGLE AERIAL SYSTEMS, INC Price to Free Cash Flow Ratio Historical Data","AGEAGLE AERIAL SYSTEMS, INC Price to Free Cash Flow Ratio Historical Data","AGEAGLE AERIAL SYSTEMS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.31,,0.02
2024-09-30,4.71,$68.92,0.07
2024-06-30,25.0,$60.27,0.41
2024-03-31,39.41,$37.66,1.05
2023-12-31,104.9,$-2.22,0.0
2023-09-30,168.0,$56.55,2.97
2023-06-30,230.0,$75.40,3.05
2023-03-31,450.0,$36.09,12.47
2022-12-31,350.0,$-5.16,0.0
2022-09-30,464.6,$-249.30,0.0
2022-06-30,646.1,$-300.73,0.0
2022-03-31,1190.0,$-272.74,0.0
2021-12-31,1570.0,$-205.04,0.0
2021-09-30,3010.0,$-134.56,0.0
2021-06-30,5270.0,$-98.05,0.0
2021-03-31,6260.0,$-59.78,0.0
2020-12-31,6000.0,$-59.86,0.0
2020-09-30,2280.0,$-74.86,0.0
2020-06-30,1190.0,$-80.53,0.0
2020-03-31,410.7,$-116.85,0.0
2019-12-31,450.0,$-125.23,0.0
2019-09-30,313.9,$-99.43,0.0
2019-06-30,293.0,$-116.19,0.0
2019-03-31,410.0,$-92.59,0.0
2018-12-31,565.0,$-217.49,0.0
2018-09-30,1644.1,$-191.71,0.0
2018-06-30,1820.0,$-187.34,0.0
2018-03-31,4330.0,$-194.64,0.0
2017-12-31,5500.0,$-81.35,0.0
2017-09-30,7530.0,$-85.49,0.0
2017-06-30,8000.0,$-61.74,0.0
2017-03-31,9000.0,$-43.39,0.0
2016-12-31,7250.0,$-0.28,0.0
2016-09-30,9925.0,$-0.12,0.0
2016-06-30,7000.0,$0.29,24305.56
2016-03-31,6250.0,$0.30,20559.21
2015-12-31,7500.0,$0.30,24850.89
2015-09-30,12250.0,$-0.01,0.0
2015-06-30,37500.0,$-0.54,0.0
2015-03-31,37000.0,$-0.53,0.0
2014-12-31,50000.0,$-0.50,0.0
2014-09-30,150500.0,$-0.41,0.0
2014-06-30,175000.0,$-0.36,0.0
2014-03-31,180000.0,$-0.80,0.0
2013-12-31,206250.0,$-0.77,0.0
2013-09-30,217500.0,$-0.65,0.0
2013-06-30,191250.0,$-0.56,0.0
2013-03-31,258750.0,$-0.09,0.0
2012-12-31,221250.0,$-0.12,0.0
2012-09-30,273750.0,$-0.06,0.0
2012-06-30,262500.0,$-0.07,0.0
2012-03-31,288750.0,$-0.08,0.0
2011-12-31,337500.0,$-0.05,0.0
2011-09-30,221250.0,$-0.34,0.0
2011-06-30,273750.0,$-0.30,0.0
2011-03-31,318750.0,$-0.28,0.0
2010-12-31,150000.0,$-0.30,0.0
2010-09-30,93750.0,$0.07,1422610.02
2010-06-30,150000.0,$0.12,1285347.04
2010-03-31,191250.0,$0.27,696214.05
2009-12-31,236250.0,$0.31,759158.1
