Commercial Metals Price to Free Cash Flow Ratio Historical Data,Commercial Metals Price to Free Cash Flow Ratio Historical Data,Commercial Metals Price to Free Cash Flow Ratio Historical Data,Commercial Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,47.36,,11.4
2024-11-30,61.69,$4.16,14.85
2024-08-31,53.41,$4.92,10.86
2024-05-31,55.94,$4.66,12.0
2024-02-29,53.48,$5.57,9.61
2023-11-30,44.75,$5.85,7.64
2023-08-31,55.35,$6.23,8.89
2023-05-31,41.91,$6.66,6.29
2023-02-28,50.57,$5.49,9.21
2022-11-30,47.95,$6.98,6.87
2022-08-31,39.33,$4.62,8.51
2022-05-31,38.42,$2.78,13.84
2022-02-28,37.15,$2.53,14.7
2021-11-30,29.66,$0.63,47.02
2021-08-31,31.18,$0.58,53.77
2021-05-31,29.96,$1.63,18.36
2021-02-28,23.85,$3.15,7.56
2020-11-30,18.78,$3.79,4.95
2020-08-31,19.56,$5.12,3.82
2020-05-31,15.99,$5.19,3.08
2020-02-29,16.88,$4.11,4.1
2019-11-30,19.63,$3.42,5.75
2019-08-31,14.32,$-0.82,0.0
2019-05-31,12.12,$-3.70,0.0
2019-02-28,14.92,$-6.20,0.0
2018-11-30,17.24,$-6.88,0.0
2018-08-31,19.21,$-5.08,0.0
2018-05-31,20.91,$-9.00,0.0
2018-02-28,21.36,$-7.98,0.0
2017-11-30,17.36,$-7.39,0.0
2017-08-31,16.42,$-6.25,0.0
2017-05-31,15.64,$-1.03,0.0
2017-02-28,18.15,$0.66,27.43
2016-11-30,18.79,$1.50,12.52
2016-08-31,13.16,$3.68,3.58
2016-05-31,14.45,$5.33,2.71
2016-02-29,12.27,$5.65,2.17
2015-11-30,12.25,$4.42,2.77
2015-08-31,12.9,$1.77,7.28
2015-05-31,13.1,$0.10,126.33
2015-02-28,12.18,$-1.14,0.0
2014-11-30,13.1,$-0.93,0.0
2014-08-31,13.76,$0.44,30.92
2014-05-31,14.04,$0.98,14.36
2014-02-28,15.2,$1.41,10.78
2013-11-30,15.17,$1.60,9.5
2013-08-31,11.55,$0.62,18.56
2013-05-31,11.87,$0.56,21.27
2013-02-28,12.45,$0.50,24.99
2012-11-30,10.26,$0.59,17.29
2012-08-31,9.57,$1.18,8.13
2012-05-31,8.69,$0.99,8.82
2012-02-29,9.81,$-0.10,0.0
2011-11-30,10.22,$-0.10,0.0
2011-08-31,8.5,$0.07,124.47
2011-05-31,10.68,$-0.14,0.0
2011-02-28,11.88,$0.24,49.04
2010-11-30,10.87,$-0.10,0.0
2010-08-31,9.14,$-0.52,0.0
2010-05-31,10.83,$-0.30,0.0
2010-02-28,11.31,$2.46,4.6
2009-11-30,10.89,$3.73,2.92
