Cementos Pacasmayo S.A.A Price to Free Cash Flow Ratio Historical Data,Cementos Pacasmayo S.A.A Price to Free Cash Flow Ratio Historical Data,Cementos Pacasmayo S.A.A Price to Free Cash Flow Ratio Historical Data,Cementos Pacasmayo S.A.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.77,,6.38
2024-06-30,5.24,$0.90,5.8
2024-03-31,5.6,$0.76,7.34
2023-12-31,4.71,$0.44,10.69
2023-09-30,4.27,$-0.02,0.0
2023-06-30,4.2,$-0.58,0.0
2023-03-31,4.36,$-0.51,0.0
2022-06-30,3.53,$0.07,47.41
2021-12-31,4.67,$0.27,17.44
2021-09-30,4.04,$0.68,5.9
2021-06-30,4.92,$1.17,4.21
2021-03-31,5.11,$1.05,4.85
2020-12-31,4.88,$0.96,5.06
2020-09-30,4.92,$0.85,5.78
2020-06-30,5.33,$0.41,12.96
2020-03-31,4.47,$0.44,10.17
2019-12-31,5.82,$0.46,12.63
2019-09-30,5.27,$0.31,17.11
2019-06-30,5.24,$0.20,25.68
2019-03-31,5.95,$0.24,25.22
2018-12-31,5.65,$0.37,15.17
2018-09-30,5.89,$0.41,14.32
2018-06-30,6.53,$0.61,10.63
2018-03-31,6.76,$0.62,10.84
2017-12-31,6.99,$0.62,11.35
2017-09-30,6.89,$0.69,9.96
2017-06-30,6.18,$0.53,11.6
2017-03-31,6.07,$0.45,13.6
2016-12-31,6.25,$0.29,21.66
2016-09-30,6.39,$0.18,35.35
2016-06-30,5.81,$-0.12,0.0
2016-03-31,5.09,$-0.38,0.0
2015-12-31,4.97,$-0.56,0.0
2015-09-30,3.61,$-0.66,0.0
2015-06-30,4.77,$-0.93,0.0
2015-03-31,4.53,$-0.97,0.0
2014-12-31,5.27,$-1.03,0.0
2014-09-30,5.21,$-1.10,0.0
2014-06-30,4.9,$-0.51,0.0
2014-03-31,5.1,$-0.25,0.0
2013-12-31,6.89,$-0.05,0.0
2013-09-30,6.7,$-0.26,0.0
2013-06-30,7.29,$-0.37,0.0
2013-03-31,8.5,$-0.38,0.0
2012-12-31,7.65,$-0.48,0.0
